basis,model,aure,admissibility_A,conditional_tolerance_T,A_times_T,n_cells
"pilot (5 ds, 6 axes)",tabicl,0.23846153846153847,1.0,0.23846153846153847,0.23846153846153847,26
"pilot (5 ds, 6 axes)",tabpfn_client,0.23461538461538461,1.0,0.23461538461538461,0.23461538461538461,26
"pilot (5 ds, 6 axes)",catboost,0.1576923076923077,1.0,0.1576923076923077,0.1576923076923077,26
"pilot (5 ds, 6 axes)",xgboost,0.1346153846153846,0.7692307692307693,0.175,0.1346153846153846,26
"pilot (5 ds, 6 axes)",logreg,0.13076923076923078,0.5769230769230769,0.22666666666666668,0.13076923076923078,26
"pilot (5 ds, 6 axes)",hist_gbdt,0.09038461538461538,0.38461538461538464,0.23500000000000001,0.0903846153846154,26
"external 44 ds, ICL capped",tabicl,0.08636363636363636,0.8863636363636364,0.09743589743589742,0.08636363636363635,88
"external 44 ds, ICL capped",tabpfn_client,0.08068181818181819,0.8636363636363636,0.09342105263157895,0.08068181818181819,88
"external 44 ds, ICL capped",catboost,0.07613636363636364,0.8636363636363636,0.0881578947368421,0.07613636363636364,88
"external 44 ds, ICL capped",xgboost,0.06818181818181818,0.5681818181818182,0.12,0.06818181818181819,88
"external 44 ds, ICL capped",hist_gbdt,0.06477272727272726,0.5681818181818182,0.11399999999999999,0.06477272727272727,88
"external 44 ds, ICL capped",logreg,0.05113636363636364,0.5681818181818182,0.09,0.05113636363636364,88
"external 44 ds, ICL uncapped",tabicl,0.09943181818181818,0.9318181818181818,0.10670731707317076,0.0994318181818182,88
"external 44 ds, ICL uncapped",tabpfn_client,0.09375,0.9090909090909091,0.10312500000000002,0.09375000000000001,88
"external 44 ds, ICL uncapped",catboost,0.07613636363636364,0.8636363636363636,0.0881578947368421,0.07613636363636364,88
"external 44 ds, ICL uncapped",xgboost,0.06818181818181818,0.5681818181818182,0.12,0.06818181818181819,88
"external 44 ds, ICL uncapped",hist_gbdt,0.06477272727272726,0.5681818181818182,0.11399999999999999,0.06477272727272727,88
"external 44 ds, ICL uncapped",logreg,0.05113636363636364,0.5681818181818182,0.09,0.05113636363636364,88
external subset 12x3 seeds,tabicl,0.11180555555555556,1.0,0.11180555555555556,0.11180555555555556,72
external subset 12x3 seeds,catboost,0.1076388888888889,0.8888888888888888,0.12109375,0.10763888888888888,72
external subset 12x3 seeds,tabpfn_client,0.1076388888888889,1.0,0.1076388888888889,0.1076388888888889,72
external subset 12x3 seeds,hist_gbdt,0.09444444444444446,0.6111111111111112,0.15454545454545454,0.09444444444444446,72
external subset 12x3 seeds,xgboost,0.09027777777777778,0.5555555555555556,0.1625,0.09027777777777779,72
external subset 12x3 seeds,logreg,0.05555555555555555,0.6666666666666666,0.08333333333333333,0.05555555555555555,72
