aure,robust_fraction,abs_utility_area,abs_ece_radius,abs_auc_radius,self_ref_radius,auc_retention,utility_drop,admitted,rho_grid,model,dataset_id
0.0,0.16666666666666666,0.005,0.0,0.0,0.0,0.7571667667040725,0.47817633249462776,True,0.0,catboost,GesturePhaseSegmentation
0.1,0.5,0.012205834803619331,0.4,0.1,0.1,0.9518148515382931,0.048353073111400226,True,0.1,catboost,GesturePhaseSegmentation
0.05,0.3333333333333333,0.007326954442705896,0.1,0.1,0.05,0.9141626546188564,0.2858246287496208,True,0.05,catboost,MiceProtein
0.0,0.16666666666666666,0.00554568194674986,0.0,0.4,0.05,0.9915510942251065,0.08739305512304471,True,0.0,catboost,MiceProtein
0.4,1.0,0.028548812812810697,0.4,0.4,0.4,1.0000622807843833,-0.0005410352995652956,True,0.4,catboost,PhishingWebsites
0.0,0.16666666666666666,0.004682991677195492,0.1,0.3,0.0,0.9586103923209197,0.15709126311699947,True,0.0,catboost,PhishingWebsites
0.05,0.3333333333333333,0.00945402309020251,0.1,0.2,0.05,0.9576068137053373,0.3136767526732559,True,0.05,catboost,analcatdata_authorship
0.1,0.5,0.009033811329077454,0.1,0.4,0.1,0.9937129610165101,0.07716332128172156,True,0.1,catboost,analcatdata_authorship
0.1,0.5,0.011552379448915148,0.1,0.4,0.1,0.9963588550622028,0.3986630013455764,True,0.1,catboost,breast-w
0.05,0.3333333333333333,0.005474804740129476,0.1,0.3,0.05,0.9502174572671185,0.14417413011834737,True,0.05,catboost,breast-w
0.4,1.0,0.020828293942661658,0.4,0.4,0.4,1.0000311729127154,0.0003428223041588185,True,0.4,catboost,car
0.0,0.16666666666666666,0.0035189965326878903,0.4,0.2,0.05,0.9437283037075239,0.11674886997746899,True,0.0,catboost,car
0.05,0.3333333333333333,0.008737923359535457,0.2,0.1,0.05,0.9026727499231505,0.21957203453228943,True,0.05,catboost,churn
0.05,0.3333333333333333,0.006188228157828324,0.05,0.2,0.05,0.9139461890663172,0.14890510410390023,True,0.05,catboost,churn
0.3,0.8333333333333334,0.03689785208069355,0.4,0.0,0.3,1.0366211962224552,-0.0068337641973158945,True,0.3,catboost,climate-model-simulation-crashes
0.05,0.3333333333333333,0.009789848856353608,0.1,0.0,0.05,0.8816369359916052,0.12026228750205983,True,0.05,catboost,climate-model-simulation-crashes
0.0,0.0,0.011150685594370399,0.0,0.0,0.05,0.9110365917479661,0.0825251111289452,False,0.0,catboost,cmc
0.0,0.0,0.021835812155729845,0.0,0.0,0.2,0.9544783211944875,0.016404531335657842,False,0.0,catboost,cmc
0.0,0.0,0.0048655809910282495,0.0,0.4,0.3,0.9988620229746589,0.016154620838066992,False,0.0,catboost,cnae-9
0.0,0.0,0.001291658837759252,0.0,0.4,0.05,0.9940928451576818,0.0742597121920387,False,0.0,catboost,cnae-9
0.1,0.5,0.007654734597711478,0.2,0.4,0.1,0.9817206519496595,0.04925974418415853,True,0.1,catboost,credit-approval
0.1,0.5,0.01853326880688669,0.2,0.2,0.1,0.9439447080668455,0.0638568118026672,True,0.1,catboost,credit-approval
0.4,1.0,0.030792980737596037,0.4,0.4,0.4,1.0041031730325218,-0.0009515768851152462,True,0.4,catboost,credit-g
0.1,0.5,0.01070648225688236,0.4,0.1,0.1,0.8732370209116695,0.07849192578178557,True,0.1,catboost,credit-g
0.05,0.3333333333333333,0.010555532861264802,0.1,0.2,0.1,0.9634906139015728,0.1532134185359099,True,0.05,catboost,diabetes
0.1,0.5,0.014501144818003154,0.4,0.1,0.1,0.9214611872146119,0.049758160921857406,True,0.1,catboost,diabetes
0.4,1.0,0.02884802139034795,0.4,0.4,0.4,0.9997053390532283,0.0013823743315824256,True,0.4,catboost,dna
0.05,0.3333333333333333,0.006965943524908637,0.2,0.2,0.05,0.9567647306110821,0.10792541649425078,True,0.05,catboost,dna
0.0,0.0,0.031645003537021245,0.0,0.4,0.4,1.0188129899216125,-0.0019740042444254995,False,0.0,catboost,dresses-sales
0.0,0.0,0.007775697415744266,0.4,0.0,0.05,0.8682530795072788,0.06350836407085649,False,0.0,catboost,dresses-sales
0.0,0.0,0.005,0.0,0.0,0.0,0.830201934417714,0.37092577690442335,False,0.0,catboost,eucalyptus
0.0,0.16666666666666666,0.009518635961034702,0.0,0.0,0.1,0.9419550923376565,0.0599805206955681,False,0.0,catboost,eucalyptus
0.0,0.16666666666666666,0.005,0.05,0.0,0.0,0.6660372986355555,0.2702847290386928,True,0.0,catboost,first-order-theorem-proving
0.1,0.5,0.00939813713207067,0.4,0.1,0.1,0.9412239469435235,0.04799247577816133,True,0.1,catboost,first-order-theorem-proving
0.0,0.0,0.009494182136048699,0.0,0.1,0.05,0.9285874188493395,0.1847357077397512,False,0.0,catboost,ilpd
