model,cell,in_common,rho_grid,rho_self
catboost,"('breast_cancer', 'class_imbalance')",True,0.4,0.4
catboost,"('breast_cancer', 'context_budget')",True,0.4,0.4
catboost,"('breast_cancer', 'covariate_shift')",True,0.0,0.0
catboost,"('breast_cancer', 'label_noise')",True,0.0,0.0
catboost,"('breast_cancer', 'missingness_shift')",True,0.2,0.2
catboost,"('digits', 'class_imbalance')",True,0.4,0.4
catboost,"('digits', 'context_budget')",True,0.4,0.4
catboost,"('digits', 'covariate_shift')",True,0.1,0.1
catboost,"('digits', 'label_noise')",True,0.1,0.1
catboost,"('digits', 'missingness_shift')",True,0.1,0.1
catboost,"('iris', 'class_imbalance')",False,0.0,0.0
catboost,"('iris', 'context_budget')",False,0.4,0.4
catboost,"('iris', 'covariate_shift')",False,0.05,0.05
catboost,"('iris', 'label_noise')",False,0.0,0.0
catboost,"('iris', 'missingness_shift')",False,0.05,0.05
catboost,"('synthetic_mixed', 'class_imbalance')",False,0.1,0.1
catboost,"('synthetic_mixed', 'context_budget')",False,0.2,0.2
catboost,"('synthetic_mixed', 'covariate_shift')",False,0.1,0.1
catboost,"('synthetic_mixed', 'label_noise')",False,0.0,0.0
catboost,"('synthetic_mixed', 'missingness_shift')",False,0.0,0.0
catboost,"('synthetic_mixed', 'rare_category_shift')",False,0.3,0.3
catboost,"('wine', 'class_imbalance')",False,0.4,0.4
catboost,"('wine', 'context_budget')",False,0.05,0.05
catboost,"('wine', 'covariate_shift')",False,0.05,0.05
catboost,"('wine', 'label_noise')",False,0.1,0.2
catboost,"('wine', 'missingness_shift')",False,0.2,0.2
hist_gbdt,"('breast_cancer', 'class_imbalance')",True,0.4,0.4
hist_gbdt,"('breast_cancer', 'context_budget')",True,0.4,0.4
hist_gbdt,"('breast_cancer', 'covariate_shift')",True,0.0,0.0
hist_gbdt,"('breast_cancer', 'label_noise')",True,0.1,0.1
hist_gbdt,"('breast_cancer', 'missingness_shift')",True,0.3,0.3
hist_gbdt,"('digits', 'class_imbalance')",True,0.4,0.4
hist_gbdt,"('digits', 'context_budget')",True,0.4,0.4
hist_gbdt,"('digits', 'covariate_shift')",True,0.1,0.1
hist_gbdt,"('digits', 'label_noise')",True,0.2,0.2
hist_gbdt,"('digits', 'missingness_shift')",True,0.05,0.1
hist_gbdt,"('iris', 'class_imbalance')",False,0.0,0.4
hist_gbdt,"('iris', 'context_budget')",False,0.0,0.4
hist_gbdt,"('iris', 'covariate_shift')",False,0.0,0.0
hist_gbdt,"('iris', 'label_noise')",False,0.0,0.0
hist_gbdt,"('iris', 'missingness_shift')",False,0.0,0.0
hist_gbdt,"('synthetic_mixed', 'class_imbalance')",False,0.0,0.2
hist_gbdt,"('synthetic_mixed', 'context_budget')",False,0.0,0.4
hist_gbdt,"('synthetic_mixed', 'covariate_shift')",False,0.0,0.2
hist_gbdt,"('synthetic_mixed', 'label_noise')",False,0.0,0.0
hist_gbdt,"('synthetic_mixed', 'missingness_shift')",False,0.0,0.0
hist_gbdt,"('synthetic_mixed', 'rare_category_shift')",False,0.0,0.1
hist_gbdt,"('wine', 'class_imbalance')",False,0.0,0.4
hist_gbdt,"('wine', 'context_budget')",False,0.0,0.4
hist_gbdt,"('wine', 'covariate_shift')",False,0.0,0.0
hist_gbdt,"('wine', 'label_noise')",False,0.0,0.1
hist_gbdt,"('wine', 'missingness_shift')",False,0.0,0.2
logreg,"('breast_cancer', 'class_imbalance')",True,0.4,0.4
logreg,"('breast_cancer', 'context_budget')",True,0.4,0.4
logreg,"('breast_cancer', 'covariate_shift')",True,0.0,0.0
logreg,"('breast_cancer', 'label_noise')",True,0.0,0.0
logreg,"('breast_cancer', 'missingness_shift')",True,0.3,0.3
logreg,"('digits', 'class_imbalance')",True,0.4,0.4
logreg,"('digits', 'context_budget')",True,0.4,0.4
logreg,"('digits', 'covariate_shift')",True,0.2,0.2
logreg,"('digits', 'label_noise')",True,0.0,0.0
logreg,"('digits', 'missingness_shift')",True,0.1,0.1
logreg,"('iris', 'class_imbalance')",False,0.0,0.4
logreg,"('iris', 'context_budget')",False,0.0,0.4
logreg,"('iris', 'covariate_shift')",False,0.0,0.1
logreg,"('iris', 'label_noise')",False,0.0,0.0
logreg,"('iris', 'missingness_shift')",False,0.0,0.1
logreg,"('synthetic_mixed', 'class_imbalance')",False,0.0,0.4
logreg,"('synthetic_mixed', 'context_budget')",False,0.0,0.4
logreg,"('synthetic_mixed', 'covariate_shift')",False,0.0,0.4
logreg,"('synthetic_mixed', 'label_noise')",False,0.0,0.0
logreg,"('synthetic_mixed', 'missingness_shift')",False,0.0,0.0
logreg,"('synthetic_mixed', 'rare_category_shift')",False,0.0,0.4
logreg,"('wine', 'class_imbalance')",False,0.4,0.4
logreg,"('wine', 'context_budget')",False,0.4,0.4
logreg,"('wine', 'covariate_shift')",False,0.1,0.05
logreg,"('wine', 'label_noise')",False,0.1,0.0
logreg,"('wine', 'missingness_shift')",False,0.2,0.2
tabicl,"('breast_cancer', 'class_imbalance')",True,0.4,0.4
tabicl,"('breast_cancer', 'context_budget')",True,0.4,0.4
tabicl,"('breast_cancer', 'covariate_shift')",True,0.0,0.0
tabicl,"('breast_cancer', 'label_noise')",True,0.05,0.05
tabicl,"('breast_cancer', 'missingness_shift')",True,0.05,0.05
tabicl,"('digits', 'class_imbalance')",True,0.4,0.4
tabicl,"('digits', 'context_budget')",True,0.4,0.4
tabicl,"('digits', 'covariate_shift')",True,0.1,0.1
tabicl,"('digits', 'label_noise')",True,0.1,0.1
tabicl,"('digits', 'missingness_shift')",True,0.2,0.2
tabicl,"('iris', 'class_imbalance')",False,0.4,0.4
tabicl,"('iris', 'context_budget')",False,0.4,0.4
tabicl,"('iris', 'covariate_shift')",False,0.05,0.05
tabicl,"('iris', 'label_noise')",False,0.0,0.0
tabicl,"('iris', 'missingness_shift')",False,0.1,0.1
tabicl,"('synthetic_mixed', 'class_imbalance')",False,0.4,0.4
tabicl,"('synthetic_mixed', 'context_budget')",False,0.4,0.4
tabicl,"('synthetic_mixed', 'covariate_shift')",False,0.4,0.3
tabicl,"('synthetic_mixed', 'label_noise')",False,0.05,0.0
tabicl,"('synthetic_mixed', 'missingness_shift')",False,0.0,0.0
tabicl,"('synthetic_mixed', 'rare_category_shift')",False,0.4,0.05
tabicl,"('wine', 'class_imbalance')",False,0.4,0.4
tabicl,"('wine', 'context_budget')",False,0.4,0.4
tabicl,"('wine', 'covariate_shift')",False,0.2,0.1
tabicl,"('wine', 'label_noise')",False,0.1,0.05
tabicl,"('wine', 'missingness_shift')",False,0.4,0.05
tabpfn_client,"('breast_cancer', 'class_imbalance')",True,0.4,0.4
tabpfn_client,"('breast_cancer', 'context_budget')",True,0.4,0.4
tabpfn_client,"('breast_cancer', 'covariate_shift')",True,0.0,0.0
tabpfn_client,"('breast_cancer', 'label_noise')",True,0.05,0.05
tabpfn_client,"('breast_cancer', 'missingness_shift')",True,0.1,0.1
tabpfn_client,"('digits', 'class_imbalance')",True,0.4,0.4
tabpfn_client,"('digits', 'context_budget')",True,0.4,0.4
tabpfn_client,"('digits', 'covariate_shift')",True,0.0,0.0
tabpfn_client,"('digits', 'label_noise')",True,0.1,0.1
tabpfn_client,"('digits', 'missingness_shift')",True,0.2,0.1
tabpfn_client,"('iris', 'class_imbalance')",False,0.4,0.4
tabpfn_client,"('iris', 'context_budget')",False,0.4,0.4
tabpfn_client,"('iris', 'covariate_shift')",False,0.0,0.0
tabpfn_client,"('iris', 'label_noise')",False,0.1,0.0
tabpfn_client,"('iris', 'missingness_shift')",False,0.1,0.1
tabpfn_client,"('synthetic_mixed', 'class_imbalance')",False,0.4,0.4
tabpfn_client,"('synthetic_mixed', 'context_budget')",False,0.4,0.4
tabpfn_client,"('synthetic_mixed', 'covariate_shift')",False,0.4,0.3
tabpfn_client,"('synthetic_mixed', 'label_noise')",False,0.05,0.0
tabpfn_client,"('synthetic_mixed', 'missingness_shift')",False,0.0,0.0
tabpfn_client,"('synthetic_mixed', 'rare_category_shift')",False,0.4,0.1
tabpfn_client,"('wine', 'class_imbalance')",False,0.4,0.4
tabpfn_client,"('wine', 'context_budget')",False,0.4,0.4
tabpfn_client,"('wine', 'covariate_shift')",False,0.1,0.05
tabpfn_client,"('wine', 'label_noise')",False,0.1,0.05
tabpfn_client,"('wine', 'missingness_shift')",False,0.4,0.05
xgboost,"('breast_cancer', 'class_imbalance')",True,0.4,0.4
xgboost,"('breast_cancer', 'context_budget')",True,0.4,0.4
xgboost,"('breast_cancer', 'covariate_shift')",True,0.0,0.0
xgboost,"('breast_cancer', 'label_noise')",True,0.05,0.05
xgboost,"('breast_cancer', 'missingness_shift')",True,0.3,0.3
xgboost,"('digits', 'class_imbalance')",True,0.4,0.4
xgboost,"('digits', 'context_budget')",True,0.4,0.4
xgboost,"('digits', 'covariate_shift')",True,0.05,0.1
xgboost,"('digits', 'label_noise')",True,0.2,0.2
xgboost,"('digits', 'missingness_shift')",True,0.05,0.05
xgboost,"('iris', 'class_imbalance')",False,0.1,0.4
xgboost,"('iris', 'context_budget')",False,0.05,0.4
xgboost,"('iris', 'covariate_shift')",False,0.0,0.05
xgboost,"('iris', 'label_noise')",False,0.0,0.0
xgboost,"('iris', 'missingness_shift')",False,0.0,0.0
xgboost,"('synthetic_mixed', 'class_imbalance')",False,0.0,0.2
xgboost,"('synthetic_mixed', 'context_budget')",False,0.0,0.4
xgboost,"('synthetic_mixed', 'covariate_shift')",False,0.0,0.05
xgboost,"('synthetic_mixed', 'label_noise')",False,0.0,0.0
xgboost,"('synthetic_mixed', 'missingness_shift')",False,0.0,0.0
xgboost,"('synthetic_mixed', 'rare_category_shift')",False,0.0,0.1
xgboost,"('wine', 'class_imbalance')",False,0.4,0.4
xgboost,"('wine', 'context_budget')",False,0.4,0.4
xgboost,"('wine', 'covariate_shift')",False,0.05,0.05
xgboost,"('wine', 'label_noise')",False,0.05,0.05
xgboost,"('wine', 'missingness_shift')",False,0.2,0.2
