model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda
catboost,car,categorical_covariate_shift,0.0,6,5,0.4
catboost,credit-approval,categorical_covariate_shift,0.05,6,4,0.4
catboost,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4
hist_gbdt,car,categorical_covariate_shift,0.0,6,5,0.4
hist_gbdt,credit-approval,categorical_covariate_shift,0.0,6,6,0.4
hist_gbdt,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4
logreg,car,categorical_covariate_shift,0.0,6,6,0.4
logreg,credit-approval,categorical_covariate_shift,0.05,6,4,0.4
logreg,tic-tac-toe,categorical_covariate_shift,0.0,6,6,0.4
tabicl,car,categorical_covariate_shift,0.0,6,5,0.4
tabicl,credit-approval,categorical_covariate_shift,0.05,6,4,0.4
tabicl,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4
tabpfn,car,categorical_covariate_shift,0.0,6,5,0.4
tabpfn,credit-approval,categorical_covariate_shift,0.05,6,4,0.4
tabpfn,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4
xgboost,car,categorical_covariate_shift,0.0,6,5,0.4
xgboost,credit-approval,categorical_covariate_shift,0.0,6,6,0.4
xgboost,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4
