dataset_id,source,openml_id,n_samples,n_features,n_numeric,n_categorical,n_classes,class_imbalance_ratio,missing_rate,duplicate_ratio,near_duplicate_proxy,imbalance_flag,split_seed,usable_status,skip_reason
kr-vs-kp,openml,3,3196,36,0,36,2,1.0929927963326784,0.0,0.0,,False,42,usable,
breast-w,openml,15,699,9,9,0,2,1.900414937759336,0.002543315848036878,0.3376251788268956,0.819047619047619,False,42,usable,
mfeat-fourier,openml,14,2000,76,76,0,10,1.0,0.0,0.003,0.17166666666666666,False,42,usable,
mfeat-karhunen,openml,16,2000,64,64,0,10,1.0,0.0,0.003,0.045,False,42,usable,
mfeat-morphological,openml,18,2000,6,6,0,10,1.0,0.0,0.056,0.9983333333333333,False,42,usable,
mfeat-zernike,openml,22,2000,47,47,0,10,1.0,0.0,0.003,0.6716666666666666,False,42,usable,
mfeat-factors,openml,12,2000,216,216,0,10,1.0,0.0,0.003,0.7233333333333334,False,42,usable,
cmc,openml,23,1473,9,2,7,3,1.8888888888888888,0.0,0.07807196198234895,1.0,False,42,usable,
credit-approval,openml,29,690,15,6,9,2,1.247557003257329,0.006473429951690821,0.0,0.8599033816425121,False,42,usable,
credit-g,openml,31,1000,20,7,13,2,2.3333333333333335,0.0,0.0,0.89,False,42,usable,
diabetes,openml,37,768,8,8,0,2,1.8656716417910448,0.0,0.0,0.8008658008658008,False,42,usable,
tic-tac-toe,openml,50,958,9,0,9,2,1.8855421686746987,0.0,0.0,,False,42,usable,
vehicle,openml,54,846,18,18,0,4,1.0954773869346734,0.0,0.0,0.9803149606299213,False,42,usable,
spambase,openml,44,4601,57,57,0,2,1.5377826806398236,0.0,0.08563355792219082,0.8392469225199131,False,42,usable,
analcatdata_authorship,openml,458,841,70,70,0,4,5.763636363636364,0.0,0.0,0.0,False,42,usable,
pc4,openml,1049,1458,37,37,0,2,7.191011235955056,0.0,0.07887517146776406,0.8858447488584474,False,42,usable,
pc3,openml,1050,1563,37,37,0,2,8.76875,0.0,0.08125399872040946,0.8784648187633263,False,42,usable,
kc1,openml,1067,2109,21,21,0,2,5.469325153374233,0.0,0.4348032242769085,0.95260663507109,False,42,usable,
pc1,openml,1068,1109,21,21,0,2,13.402597402597403,0.0,0.14517583408476104,0.9459459459459459,True,42,usable,
ilpd,openml,1480,583,10,9,1,2,2.4910179640718564,0.0,0.022298456260720412,0.8514285714285714,False,42,usable,
qsar-biodeg,openml,1494,1055,41,41,0,2,1.9634831460674158,0.0,0.002843601895734597,0.7886435331230284,False,42,usable,
wdbc,openml,1510,569,30,30,0,2,1.6839622641509433,0.0,0.0,0.7192982456140351,False,42,usable,
ozone-level-8hr,openml,1487,2534,72,72,0,2,14.8375,0.0,0.0031570639305445935,0.5676741130091985,True,42,usable,
phoneme,openml,1489,5404,5,5,0,2,2.407313997477932,0.0,0.0016654330125832717,0.998766954377312,False,42,usable,
steel-plates-fault,openml,1504,1941,33,33,0,2,1.8841010401188707,0.0,0.0,0.9279588336192109,False,42,usable,
wall-robot-navigation,openml,1497,5456,24,24,0,4,6.722560975609756,0.0,0.0,0.9120342089187539,False,42,usable,
cnae-9,openml,1468,1080,856,856,0,9,1.0,0.0,0.025925925925925925,0.5493827160493827,False,42,usable,
first-order-theorem-proving,openml,1475,6118,51,51,0,6,5.255144032921811,0.0,0.10068649885583524,0.9651416122004357,False,42,usable,
churn,openml,40701,5000,20,16,4,2,6.072135785007072,0.0,0.0,0.37266666666666665,False,42,usable,
texture,openml,40499,5500,40,40,0,11,1.0,0.0,0.004909090909090909,0.996969696969697,False,42,usable,
optdigits,openml,28,5620,64,64,0,10,1.032490974729242,0.0,0.0,0.7876631079478055,False,42,usable,
pendigits,openml,32,10992,16,16,0,10,1.0843601895734598,0.0,0.0,0.9969678593086719,False,42,usable,
satimage,openml,182,6430,36,36,0,6,2.4496,0.0,0.0,0.9948159668221876,False,42,usable,
segment,openml,36,2310,19,19,0,7,1.0,0.0,0.09696969696969697,0.98989898989899,False,42,usable,
vowel,openml,307,990,12,10,2,11,1.0,0.0,0.0,0.9764309764309764,False,42,usable,
climate-model-simulation-crashes,openml,40994,540,18,18,0,2,10.73913043478261,0.0,0.0,0.0,True,42,usable,
car,openml,40975,1728,6,0,6,4,18.615384615384617,0.0,0.0,,True,42,usable,
dna,openml,40670,3186,180,0,180,3,2.1620915032679737,0.0,0.05806654111738858,,False,42,usable,
splice,openml,46,3190,60,0,60,3,2.1577574967405475,0.0,0.05799373040752351,,False,42,usable,
eucalyptus,openml,188,736,19,14,5,5,2.038095238095238,0.032036613272311214,0.0,0.7737556561085973,False,42,usable,
PhishingWebsites,openml,4534,11055,30,0,30,2,1.2570436913025724,0.0,0.4767073722297603,,False,42,usable,
GesturePhaseSegmentation,openml,4538,9873,32,32,0,5,2.9559118236472948,0.0,0.0,0.775151924375422,False,42,usable,
MiceProtein,openml,40966,1080,77,77,0,8,1.4285714285714286,0.016786916786916788,0.0,0.8734567901234568,False,42,usable,
dresses-sales,openml,23381,500,12,1,11,2,1.380952380952381,0.13916666666666666,0.002,1.0,False,42,usable,
banknote-authentication,openml,1462,1372,4,4,0,2,1.2491803278688525,0.0,0.01749271137026239,,False,42,skip,n_features<5
balance-scale,openml,11,625,4,4,0,3,5.877551020408164,0.0,0.0,,False,42,skip,n_features<5
