model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda
hist_gbdt,car,covariate_shift,0.4,6,0,0.4
hist_gbdt,car,label_noise,0.05,6,4,0.4
hist_gbdt,diabetes,covariate_shift,0.0,6,6,0.4
hist_gbdt,diabetes,label_noise,0.0,6,6,0.4
hist_gbdt,vowel,covariate_shift,0.0,6,5,0.4
hist_gbdt,vowel,label_noise,0.1,6,3,0.4
logreg,car,covariate_shift,0.0,6,6,0.4
logreg,car,label_noise,0.0,6,6,0.4
logreg,diabetes,covariate_shift,0.0,6,4,0.4
logreg,diabetes,label_noise,0.0,6,4,0.4
logreg,vowel,covariate_shift,0.0,6,6,0.4
logreg,vowel,label_noise,0.0,6,6,0.4
tabicl,car,covariate_shift,0.4,6,0,0.4
tabicl,car,label_noise,0.0,6,5,0.4
tabicl,diabetes,covariate_shift,0.1,6,3,0.4
tabicl,diabetes,label_noise,0.1,6,3,0.4
tabicl,vowel,covariate_shift,0.1,6,3,0.4
tabicl,vowel,label_noise,0.05,6,4,0.4
