model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda
catboost_cal,car,covariate_shift,0.4,6,0,0.4
catboost_cal,car,label_noise,0.0,6,5,0.4
catboost_cal,churn,covariate_shift,0.05,6,4,0.4
catboost_cal,churn,label_noise,0.05,6,4,0.4
catboost_cal,credit-approval,covariate_shift,0.0,6,5,0.4
catboost_cal,credit-approval,label_noise,0.1,6,3,0.4
catboost_cal,credit-g,covariate_shift,0.4,6,0,0.4
catboost_cal,credit-g,label_noise,0.1,6,3,0.4
catboost_cal,eucalyptus,covariate_shift,0.0,6,5,0.4
catboost_cal,eucalyptus,label_noise,0.0,6,5,0.4
catboost_cal,kr-vs-kp,covariate_shift,0.4,6,0,0.4
catboost_cal,kr-vs-kp,label_noise,0.0,6,5,0.4
catboost_cal,optdigits,covariate_shift,0.1,6,3,0.4
catboost_cal,optdigits,label_noise,0.05,6,4,0.4
catboost_cal,pc1,covariate_shift,0.0,6,5,0.4
catboost_cal,pc1,label_noise,0.05,6,4,0.4
catboost_cal,splice,covariate_shift,0.4,6,0,0.4
catboost_cal,splice,label_noise,0.05,6,4,0.4
catboost_cal,steel-plates-fault,covariate_shift,0.4,6,0,0.4
catboost_cal,steel-plates-fault,label_noise,0.0,6,5,0.4
catboost_cal,vehicle,covariate_shift,0.05,6,4,0.4
catboost_cal,vehicle,label_noise,0.0,6,5,0.4
catboost_cal,wdbc,covariate_shift,0.0,6,5,0.4
catboost_cal,wdbc,label_noise,0.05,6,4,0.4
hist_gbdt_cal,car,covariate_shift,0.4,6,0,0.4
hist_gbdt_cal,car,label_noise,0.0,6,5,0.4
hist_gbdt_cal,churn,covariate_shift,0.05,6,4,0.4
hist_gbdt_cal,churn,label_noise,0.0,6,5,0.4
hist_gbdt_cal,credit-approval,covariate_shift,0.05,6,4,0.4
hist_gbdt_cal,credit-approval,label_noise,0.05,6,4,0.4
hist_gbdt_cal,credit-g,covariate_shift,0.2,6,2,0.4
hist_gbdt_cal,credit-g,label_noise,0.05,6,4,0.4
hist_gbdt_cal,eucalyptus,covariate_shift,0.0,6,6,0.4
hist_gbdt_cal,eucalyptus,label_noise,0.0,6,6,0.4
hist_gbdt_cal,kr-vs-kp,covariate_shift,0.4,6,0,0.4
hist_gbdt_cal,kr-vs-kp,label_noise,0.0,6,5,0.4
hist_gbdt_cal,optdigits,covariate_shift,0.1,6,3,0.4
hist_gbdt_cal,optdigits,label_noise,0.0,6,5,0.4
hist_gbdt_cal,pc1,covariate_shift,0.0,6,5,0.4
hist_gbdt_cal,pc1,label_noise,0.0,6,5,0.4
hist_gbdt_cal,splice,covariate_shift,0.4,6,0,0.4
hist_gbdt_cal,splice,label_noise,0.0,6,5,0.4
hist_gbdt_cal,steel-plates-fault,covariate_shift,0.4,6,0,0.4
hist_gbdt_cal,steel-plates-fault,label_noise,0.0,6,5,0.4
hist_gbdt_cal,vehicle,covariate_shift,0.0,6,5,0.4
hist_gbdt_cal,vehicle,label_noise,0.0,6,6,0.4
hist_gbdt_cal,wdbc,covariate_shift,0.05,6,4,0.4
hist_gbdt_cal,wdbc,label_noise,0.0,6,5,0.4
logreg_cal,car,covariate_shift,0.0,6,6,0.4
logreg_cal,car,label_noise,0.0,6,6,0.4
logreg_cal,churn,covariate_shift,0.0,6,6,0.4
logreg_cal,churn,label_noise,0.0,6,6,0.4
logreg_cal,credit-approval,covariate_shift,0.2,6,2,0.4
logreg_cal,credit-approval,label_noise,0.05,6,4,0.4
logreg_cal,credit-g,covariate_shift,0.2,6,2,0.4
logreg_cal,credit-g,label_noise,0.05,6,4,0.4
logreg_cal,eucalyptus,covariate_shift,0.0,6,6,0.4
logreg_cal,eucalyptus,label_noise,0.0,6,6,0.4
logreg_cal,kr-vs-kp,covariate_shift,0.0,6,6,0.4
logreg_cal,kr-vs-kp,label_noise,0.0,6,6,0.4
logreg_cal,optdigits,covariate_shift,0.0,6,6,0.4
logreg_cal,optdigits,label_noise,0.0,6,6,0.4
logreg_cal,pc1,covariate_shift,0.1,6,3,0.4
logreg_cal,pc1,label_noise,0.0,6,5,0.4
logreg_cal,splice,covariate_shift,0.0,6,6,0.4
logreg_cal,splice,label_noise,0.0,6,6,0.4
logreg_cal,steel-plates-fault,covariate_shift,0.05,6,4,0.4
logreg_cal,steel-plates-fault,label_noise,0.0,6,5,0.4
logreg_cal,vehicle,covariate_shift,0.0,6,6,0.4
logreg_cal,vehicle,label_noise,0.0,6,6,0.4
logreg_cal,wdbc,covariate_shift,0.05,6,4,0.4
logreg_cal,wdbc,label_noise,0.0,6,5,0.4
tabicl,car,covariate_shift,0.4,6,0,0.4
tabicl,car,label_noise,0.1,6,3,0.4
tabicl,churn,covariate_shift,0.0,6,5,0.4
tabicl,churn,label_noise,0.0,6,5,0.4
tabicl,credit-approval,covariate_shift,0.1,6,3,0.4
tabicl,credit-approval,label_noise,0.1,6,3,0.4
tabicl,credit-g,covariate_shift,0.4,6,0,0.4
tabicl,credit-g,label_noise,0.1,6,3,0.4
tabicl,eucalyptus,covariate_shift,0.0,6,5,0.4
tabicl,eucalyptus,label_noise,0.05,6,4,0.4
tabicl,kr-vs-kp,covariate_shift,0.4,6,0,0.4
tabicl,kr-vs-kp,label_noise,0.0,6,5,0.4
tabicl,optdigits,covariate_shift,0.05,6,4,0.4
tabicl,optdigits,label_noise,0.1,6,3,0.4
tabicl,pc1,covariate_shift,0.05,6,4,0.4
tabicl,pc1,label_noise,0.05,6,4,0.4
tabicl,splice,covariate_shift,0.4,6,0,0.4
tabicl,splice,label_noise,0.1,6,3,0.4
tabicl,steel-plates-fault,covariate_shift,0.0,6,5,0.4
tabicl,steel-plates-fault,label_noise,0.05,6,4,0.4
tabicl,vehicle,covariate_shift,0.1,6,3,0.4
tabicl,vehicle,label_noise,0.1,6,3,0.4
tabicl,wdbc,covariate_shift,0.05,6,4,0.4
tabicl,wdbc,label_noise,0.1,6,3,0.4
tabpfn_client,car,covariate_shift,0.4,6,0,0.4
tabpfn_client,car,label_noise,0.05,6,4,0.4
tabpfn_client,churn,covariate_shift,0.05,6,4,0.4
tabpfn_client,churn,label_noise,0.05,6,4,0.4
tabpfn_client,credit-approval,covariate_shift,0.05,6,4,0.4
tabpfn_client,credit-approval,label_noise,0.1,6,3,0.4
tabpfn_client,credit-g,covariate_shift,0.4,6,0,0.4
tabpfn_client,credit-g,label_noise,0.1,6,3,0.4
tabpfn_client,eucalyptus,covariate_shift,0.0,6,5,0.4
tabpfn_client,eucalyptus,label_noise,0.05,6,4,0.4
tabpfn_client,kr-vs-kp,covariate_shift,0.4,6,0,0.4
tabpfn_client,kr-vs-kp,label_noise,0.0,6,5,0.4
tabpfn_client,optdigits,covariate_shift,0.0,6,5,0.4
tabpfn_client,optdigits,label_noise,0.1,6,3,0.4
tabpfn_client,pc1,covariate_shift,0.1,6,3,0.4
tabpfn_client,pc1,label_noise,0.05,6,4,0.4
tabpfn_client,splice,covariate_shift,0.4,6,0,0.4
tabpfn_client,splice,label_noise,0.05,6,4,0.4
tabpfn_client,steel-plates-fault,covariate_shift,0.0,6,5,0.4
tabpfn_client,steel-plates-fault,label_noise,0.05,6,4,0.4
tabpfn_client,vehicle,covariate_shift,0.05,6,4,0.4
tabpfn_client,vehicle,label_noise,0.1,6,3,0.4
tabpfn_client,wdbc,covariate_shift,0.05,6,4,0.4
tabpfn_client,wdbc,label_noise,0.1,6,3,0.4
xgboost_cal,car,covariate_shift,0.4,6,0,0.4
xgboost_cal,car,label_noise,0.0,6,5,0.4
xgboost_cal,churn,covariate_shift,0.05,6,4,0.4
xgboost_cal,churn,label_noise,0.0,6,5,0.4
xgboost_cal,credit-approval,covariate_shift,0.0,6,5,0.4
xgboost_cal,credit-approval,label_noise,0.0,6,5,0.4
xgboost_cal,credit-g,covariate_shift,0.0,6,3,0.4
xgboost_cal,credit-g,label_noise,0.0,6,5,0.4
xgboost_cal,eucalyptus,covariate_shift,0.0,6,5,0.4
xgboost_cal,eucalyptus,label_noise,0.0,6,5,0.4
xgboost_cal,kr-vs-kp,covariate_shift,0.4,6,0,0.4
xgboost_cal,kr-vs-kp,label_noise,0.0,6,5,0.4
xgboost_cal,optdigits,covariate_shift,0.1,6,3,0.4
xgboost_cal,optdigits,label_noise,0.05,6,4,0.4
xgboost_cal,pc1,covariate_shift,0.0,6,5,0.4
xgboost_cal,pc1,label_noise,0.0,6,5,0.4
xgboost_cal,splice,covariate_shift,0.4,6,0,0.4
xgboost_cal,splice,label_noise,0.05,6,4,0.4
xgboost_cal,steel-plates-fault,covariate_shift,0.4,6,0,0.4
xgboost_cal,steel-plates-fault,label_noise,0.0,6,5,0.4
xgboost_cal,vehicle,covariate_shift,0.05,6,4,0.4
xgboost_cal,vehicle,label_noise,0.0,6,5,0.4
xgboost_cal,wdbc,covariate_shift,0.0,6,5,0.4
xgboost_cal,wdbc,label_noise,0.0,6,5,0.4
