model,aure_published_baselines,aure_calibrated_baselines,lambda0_fail_published,lambda0_fail_calibrated
tabicl,0.12291666666666667,0.12291666666666667,0.0,0.0
catboost_cal,,0.11041666666666668,,0.0
tabpfn_client,0.09791666666666667,0.09583333333333334,0.027777777777777776,0.027777777777777776
hist_gbdt_cal,,0.08958333333333335,,0.16666666666666666
xgboost_cal,,0.07916666666666668,,0.0
logreg_cal,,0.02916666666666667,,0.5833333333333334
catboost,0.1125,,0.08333333333333333,
hist_gbdt,0.09583333333333334,,0.4166666666666667,
logreg,0.060416666666666674,,0.3333333333333333,
xgboost,0.08750000000000001,,0.4166666666666667,
