dataset_id,n_rows,n_features,n_classes,numeric_feature_ratio,categorical_feature_ratio,mean_cardinality,max_cardinality,class_imbalance_ratio,missing_rate,duplicate_rate,train_test_duplicate_rate,feature_shift_proxy
car,1728,6,4,0.0,1.0,3.5,4.0,18.615384615384617,0.0,0.0,0.0,0.49276859010217205
splice,3190,60,3,0.0,1.0,4.783333333333333,6.0,2.1577574967405475,0.0,0.05799373040752351,0.08986415882967608,0.5176401965621532
kr-vs-kp,3196,36,2,0.0,1.0,2.0277777777777777,3.0,1.0929927963326784,0.0,0.0,0.0,0.47608505399439327
credit-approval,690,15,2,0.4,0.6,4.444444444444445,14.0,1.247557003257329,0.006473429951690821,0.0,0.0,0.5101869355177484
eucalyptus,736,19,5,0.7368421052631579,0.2631578947368421,15.4,27.0,2.038095238095238,0.032036613272311214,0.0,0.0,0.5358857205657226
credit-g,1000,20,2,0.35,0.65,4.153846153846154,10.0,2.3333333333333335,0.0,0.0,0.0,0.47748725285205973
churn,5000,20,2,0.8,0.2,4.25,10.0,6.072135785007072,0.0,0.0,0.0,0.48342616885251605
wdbc,569,30,2,1.0,0.0,0.0,0.0,1.6839622641509433,0.0,0.0,0.0,0.5110470221273545
vehicle,846,18,4,1.0,0.0,0.0,0.0,1.0954773869346734,0.0,0.0,0.0,0.5052704477507902
pc1,1109,21,2,1.0,0.0,0.0,0.0,13.402597402597403,0.0,0.14517583408476104,0.17717717717717718,0.5541568550682315
steel-plates-fault,1941,33,2,1.0,0.0,0.0,0.0,1.8841010401188707,0.0,0.0,0.0,0.49232097104112943
optdigits,5620,64,10,1.0,0.0,0.0,0.0,1.032490974729242,0.0,0.0,0.0,0.4885450774559233
