model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda
catboost,GesturePhaseSegmentation,covariate_shift,0.0,9,8,0.8
catboost,GesturePhaseSegmentation,label_noise,0.1,9,6,0.8
catboost,MiceProtein,covariate_shift,0.05,9,7,0.8
catboost,MiceProtein,label_noise,0.0,9,8,0.8
catboost,PhishingWebsites,covariate_shift,0.8,9,0,0.8
catboost,PhishingWebsites,label_noise,0.0,9,8,0.8
catboost,analcatdata_authorship,covariate_shift,0.05,9,7,0.8
catboost,analcatdata_authorship,label_noise,0.1,9,6,0.8
catboost,breast-w,covariate_shift,0.1,9,6,0.8
catboost,breast-w,label_noise,0.05,9,7,0.8
catboost,car,covariate_shift,0.8,9,0,0.8
catboost,car,label_noise,0.0,9,8,0.8
catboost,churn,covariate_shift,0.05,9,7,0.8
catboost,churn,label_noise,0.05,9,7,0.8
catboost,climate-model-simulation-crashes,covariate_shift,0.3,9,4,0.8
catboost,climate-model-simulation-crashes,label_noise,0.05,9,7,0.8
catboost,cmc,covariate_shift,0.0,9,9,0.8
catboost,cmc,label_noise,0.0,9,9,0.8
catboost,cnae-9,covariate_shift,0.0,9,9,0.8
catboost,cnae-9,label_noise,0.0,9,9,0.8
catboost,credit-approval,covariate_shift,0.1,9,6,0.8
catboost,credit-approval,label_noise,0.1,9,6,0.8
catboost,credit-g,covariate_shift,0.5,9,2,0.8
catboost,credit-g,label_noise,0.1,9,6,0.8
catboost,diabetes,covariate_shift,0.05,9,7,0.8
catboost,diabetes,label_noise,0.1,9,6,0.8
catboost,dna,covariate_shift,0.8,9,0,0.8
catboost,dna,label_noise,0.05,9,7,0.8
catboost,dresses-sales,covariate_shift,0.0,9,9,0.8
catboost,dresses-sales,label_noise,0.0,9,9,0.8
catboost,eucalyptus,covariate_shift,0.0,9,9,0.8
catboost,eucalyptus,label_noise,0.0,9,8,0.8
catboost,first-order-theorem-proving,covariate_shift,0.0,9,8,0.8
catboost,first-order-theorem-proving,label_noise,0.1,9,6,0.8
catboost,ilpd,covariate_shift,0.0,9,9,0.8
catboost,ilpd,label_noise,0.0,9,9,0.8
catboost,kc1,covariate_shift,0.0,9,8,0.8
catboost,kc1,label_noise,0.05,9,7,0.8
catboost,kr-vs-kp,covariate_shift,0.8,9,0,0.8
catboost,kr-vs-kp,label_noise,0.0,9,8,0.8
catboost,mfeat-factors,covariate_shift,0.1,9,6,0.8
catboost,mfeat-factors,label_noise,0.05,9,7,0.8
catboost,mfeat-fourier,covariate_shift,0.1,9,6,0.8
catboost,mfeat-fourier,label_noise,0.1,9,6,0.8
catboost,mfeat-karhunen,covariate_shift,0.1,9,6,0.8
catboost,mfeat-karhunen,label_noise,0.05,9,7,0.8
catboost,mfeat-morphological,covariate_shift,0.0,9,7,0.8
catboost,mfeat-morphological,label_noise,0.0,9,6,0.8
catboost,mfeat-zernike,covariate_shift,0.1,9,6,0.8
catboost,mfeat-zernike,label_noise,0.1,9,6,0.8
catboost,optdigits,covariate_shift,0.1,9,6,0.8
catboost,optdigits,label_noise,0.05,9,7,0.8
catboost,ozone-level-8hr,covariate_shift,0.1,9,6,0.8
catboost,ozone-level-8hr,label_noise,0.05,9,7,0.8
catboost,pc1,covariate_shift,0.0,9,8,0.8
catboost,pc1,label_noise,0.0,9,8,0.8
catboost,pc3,covariate_shift,0.05,9,7,0.8
catboost,pc3,label_noise,0.05,9,7,0.8
catboost,pc4,covariate_shift,0.0,9,8,0.8
catboost,pc4,label_noise,0.05,9,7,0.8
catboost,pendigits,covariate_shift,0.1,9,6,0.8
catboost,pendigits,label_noise,0.05,9,7,0.8
catboost,phoneme,covariate_shift,0.0,9,8,0.8
catboost,phoneme,label_noise,0.05,9,7,0.8
catboost,qsar-biodeg,covariate_shift,0.0,9,8,0.8
catboost,qsar-biodeg,label_noise,0.05,9,7,0.8
catboost,satimage,covariate_shift,0.05,9,7,0.8
catboost,satimage,label_noise,0.05,9,7,0.8
catboost,segment,covariate_shift,0.0,9,8,0.8
catboost,segment,label_noise,0.05,9,7,0.8
catboost,spambase,covariate_shift,0.0,9,8,0.8
catboost,spambase,label_noise,0.05,9,7,0.8
catboost,splice,covariate_shift,0.8,9,0,0.8
catboost,splice,label_noise,0.05,9,7,0.8
catboost,steel-plates-fault,covariate_shift,0.4,9,3,0.8
catboost,steel-plates-fault,label_noise,0.0,9,8,0.8
catboost,texture,covariate_shift,0.05,9,7,0.8
catboost,texture,label_noise,0.05,9,7,0.8
catboost,tic-tac-toe,covariate_shift,0.8,9,0,0.8
catboost,tic-tac-toe,label_noise,0.0,9,8,0.8
catboost,vehicle,covariate_shift,0.0,9,8,0.8
catboost,vehicle,label_noise,0.05,9,7,0.8
catboost,vowel,covariate_shift,0.05,9,7,0.8
catboost,vowel,label_noise,0.0,9,8,0.8
catboost,wall-robot-navigation,covariate_shift,0.0,9,8,0.8
catboost,wall-robot-navigation,label_noise,0.05,9,7,0.8
catboost,wdbc,covariate_shift,0.0,9,8,0.8
catboost,wdbc,label_noise,0.05,9,7,0.8
hist_gbdt,GesturePhaseSegmentation,covariate_shift,0.0,9,8,0.8
hist_gbdt,GesturePhaseSegmentation,label_noise,0.2,9,5,0.8
hist_gbdt,MiceProtein,covariate_shift,0.0,9,8,0.8
hist_gbdt,MiceProtein,label_noise,0.1,9,6,0.8
hist_gbdt,PhishingWebsites,covariate_shift,0.8,9,0,0.8
hist_gbdt,PhishingWebsites,label_noise,0.0,9,8,0.8
hist_gbdt,analcatdata_authorship,covariate_shift,0.05,9,7,0.8
hist_gbdt,analcatdata_authorship,label_noise,0.2,9,5,0.8
hist_gbdt,breast-w,covariate_shift,0.05,9,7,0.8
hist_gbdt,breast-w,label_noise,0.0,9,8,0.8
hist_gbdt,car,covariate_shift,0.8,9,0,0.8
hist_gbdt,car,label_noise,0.05,9,7,0.8
hist_gbdt,churn,covariate_shift,0.05,9,7,0.8
hist_gbdt,churn,label_noise,0.05,9,7,0.8
hist_gbdt,climate-model-simulation-crashes,covariate_shift,0.0,9,5,0.8
hist_gbdt,climate-model-simulation-crashes,label_noise,0.0,9,9,0.8
hist_gbdt,cmc,covariate_shift,0.0,9,9,0.8
hist_gbdt,cmc,label_noise,0.0,9,9,0.8
hist_gbdt,cnae-9,covariate_shift,0.0,9,9,0.8
hist_gbdt,cnae-9,label_noise,0.0,9,9,0.8
hist_gbdt,credit-approval,covariate_shift,0.0,9,9,0.8
