model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda
catboost,GesturePhaseSegmentation,covariate_shift,0.0,6,5,0.4
catboost,GesturePhaseSegmentation,label_noise,0.1,6,3,0.4
catboost,PhishingWebsites,covariate_shift,0.4,6,0,0.4
catboost,PhishingWebsites,label_noise,0.0,6,5,0.4
catboost,car,covariate_shift,0.4,6,0,0.4
catboost,car,label_noise,0.0,6,5,0.4
catboost,churn,covariate_shift,0.05,6,4,0.4
catboost,churn,label_noise,0.05,6,4,0.4
catboost,cmc,covariate_shift,0.0,6,6,0.4
catboost,cmc,label_noise,0.0,6,6,0.4
catboost,dna,covariate_shift,0.4,6,0,0.4
catboost,dna,label_noise,0.05,6,4,0.4
catboost,first-order-theorem-proving,covariate_shift,0.0,6,5,0.4
catboost,first-order-theorem-proving,label_noise,0.1,6,3,0.4
catboost,kc1,covariate_shift,0.0,6,5,0.4
catboost,kc1,label_noise,0.05,6,4,0.4
catboost,kr-vs-kp,covariate_shift,0.4,6,0,0.4
catboost,kr-vs-kp,label_noise,0.0,6,5,0.4
catboost,mfeat-factors,covariate_shift,0.1,6,3,0.4
catboost,mfeat-factors,label_noise,0.05,6,4,0.4
catboost,mfeat-fourier,covariate_shift,0.1,6,3,0.4
catboost,mfeat-fourier,label_noise,0.1,6,3,0.4
catboost,mfeat-karhunen,covariate_shift,0.1,6,3,0.4
catboost,mfeat-karhunen,label_noise,0.05,6,4,0.4
catboost,mfeat-morphological,covariate_shift,0.0,6,4,0.4
catboost,mfeat-morphological,label_noise,0.0,6,3,0.4
catboost,mfeat-zernike,covariate_shift,0.1,6,3,0.4
catboost,mfeat-zernike,label_noise,0.1,6,3,0.4
catboost,optdigits,covariate_shift,0.1,6,3,0.4
catboost,optdigits,label_noise,0.05,6,4,0.4
catboost,ozone-level-8hr,covariate_shift,0.1,6,3,0.4
catboost,ozone-level-8hr,label_noise,0.05,6,4,0.4
catboost,pc3,covariate_shift,0.05,6,4,0.4
catboost,pc3,label_noise,0.05,6,4,0.4
catboost,pc4,covariate_shift,0.0,6,5,0.4
catboost,pc4,label_noise,0.05,6,4,0.4
catboost,pendigits,covariate_shift,0.1,6,3,0.4
catboost,pendigits,label_noise,0.05,6,4,0.4
catboost,phoneme,covariate_shift,0.0,6,5,0.4
catboost,phoneme,label_noise,0.05,6,4,0.4
catboost,satimage,covariate_shift,0.05,6,4,0.4
catboost,satimage,label_noise,0.05,6,4,0.4
catboost,segment,covariate_shift,0.0,6,5,0.4
catboost,segment,label_noise,0.05,6,4,0.4
catboost,spambase,covariate_shift,0.0,6,5,0.4
catboost,spambase,label_noise,0.05,6,4,0.4
