dataset_id,n_rows,n_features,n_classes,numeric_feature_ratio,categorical_feature_ratio,mean_cardinality,max_cardinality,class_imbalance_ratio,missing_rate,duplicate_rate,train_test_duplicate_rate,feature_shift_proxy
GesturePhaseSegmentation,9873,32,5,1.0,0.0,0.0,0.0,2.9559118236472948,0.0,0.0,0.0,0.5095287465645707
PhishingWebsites,11055,30,2,0.0,1.0,2.2666666666666666,3.0,1.2570436913025724,0.0,0.4767073722297603,0.6183298160988845,0.4926141055593071
car,1728,6,4,0.0,1.0,3.5,4.0,18.615384615384617,0.0,0.0,0.0,0.49276859010217205
churn,5000,20,2,0.8,0.2,4.25,10.0,6.072135785007072,0.0,0.0,0.0,0.48342616885251605
cmc,1473,9,3,0.2222222222222222,0.7777777777777778,3.142857142857143,4.0,1.8888888888888888,0.0,0.07807196198234895,0.12217194570135746,0.46661531183363164
dna,3186,180,3,0.0,1.0,2.0,2.0,2.1620915032679737,0.0,0.05806654111738858,0.0794979079497908,0.49825850424731444
first-order-theorem-proving,6118,51,6,1.0,0.0,0.0,0.0,5.255144032921811,0.0,0.10068649885583524,0.13507625272331156,0.5129350406522403
kc1,2109,21,2,1.0,0.0,0.0,0.0,5.469325153374233,0.0,0.4348032242769085,0.47709320695102686,0.5001493083651215
kr-vs-kp,3196,36,2,0.0,1.0,2.0277777777777777,3.0,1.0929927963326784,0.0,0.0,0.0,0.47608505399439327
mfeat-factors,2000,216,10,1.0,0.0,0.0,0.0,1.0,0.0,0.003,0.0016666666666666668,0.49668294106294403
mfeat-fourier,2000,76,10,1.0,0.0,0.0,0.0,1.0,0.0,0.003,0.006666666666666667,0.48354277524024836
mfeat-karhunen,2000,64,10,1.0,0.0,0.0,0.0,1.0,0.0,0.003,0.005,0.5130411600542838
mfeat-morphological,2000,6,10,1.0,0.0,0.0,0.0,1.0,0.0,0.056,0.09,0.44885906908921597
mfeat-zernike,2000,47,10,1.0,0.0,0.0,0.0,1.0,0.0,0.003,0.008333333333333333,0.4653912632913952
optdigits,5620,64,10,1.0,0.0,0.0,0.0,1.032490974729242,0.0,0.0,0.0,0.4885450774559233
ozone-level-8hr,2534,72,2,1.0,0.0,0.0,0.0,14.8375,0.0,0.0031570639305445935,0.003942181340341655,0.5019142281027595
pc3,1563,37,2,1.0,0.0,0.0,0.0,8.76875,0.0,0.08125399872040946,0.07249466950959488,0.5130508794543346
pc4,1458,37,2,1.0,0.0,0.0,0.0,7.191011235955056,0.0,0.07887517146776406,0.1004566210045662,0.5103377652430835
pendigits,10992,16,10,1.0,0.0,0.0,0.0,1.0843601895734598,0.0,0.0,0.0,0.5024329862017097
phoneme,5404,5,2,1.0,0.0,0.0,0.0,2.407313997477932,0.0,0.0016654330125832717,0.0030826140567200987,0.5037887897226273
satimage,6430,36,6,1.0,0.0,0.0,0.0,2.4496,0.0,0.0,0.0,0.501550302678233
segment,2310,19,7,1.0,0.0,0.0,0.0,1.0,0.0,0.09696969696969697,0.1471861471861472,0.47941380408912876
spambase,4601,57,2,1.0,0.0,0.0,0.0,1.5377826806398236,0.0,0.08563355792219082,0.11006517016654598,0.508688967805001
splice,3190,60,3,0.0,1.0,4.783333333333333,6.0,2.1577574967405475,0.0,0.05799373040752351,0.08986415882967608,0.5176401965621532
steel-plates-fault,1941,33,2,1.0,0.0,0.0,0.0,1.8841010401188707,0.0,0.0,0.0,0.49232097104112943
texture,5500,40,11,1.0,0.0,0.0,0.0,1.0,0.0,0.004909090909090909,0.007272727272727273,0.4759031672410618
wall-robot-navigation,5456,24,4,1.0,0.0,0.0,0.0,6.722560975609756,0.0,0.0,0.0,0.4993262384377788
