seed,model,aure
42,catboost,0.07613636363636364
42,hist_gbdt,0.06477272727272726
42,logreg,0.05056818181818182
42,tabicl,0.09886363636363636
42,tabpfn_client,0.09318181818181817
42,xgboost,0.06761363636363638
1337,catboost,0.07670454545454546
1337,hist_gbdt,0.06534090909090909
1337,logreg,0.05
1337,tabicl,0.1
1337,tabpfn_client,0.0811320754716981
1337,xgboost,0.06988636363636364
2025,catboost,0.07045454545454545
2025,hist_gbdt,0.06193181818181819
2025,logreg,0.05397727272727273
2025,tabicl,0.09431818181818183
2025,xgboost,0.07102272727272728
