level,total_expected,ok_rows,skipped_rows,error_rows,n_datasets,n_datasets_fully_ok,dataset_id,model,shift_axis,shift_lambda,status,reason
run,9504.0,8764.0,528.0,212.0,44.0,0.0,,,,,,
problem,,,,,,,GesturePhaseSegmentation,tabpfn_client,covariate_shift,0.0,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,GesturePhaseSegmentation,tabpfn_client,covariate_shift,0.05,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,GesturePhaseSegmentation,tabpfn_client,covariate_shift,0.1,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,GesturePhaseSegmentation,tabpfn_client,covariate_shift,0.2,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,GesturePhaseSegmentation,tabpfn_client,covariate_shift,0.3,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,GesturePhaseSegmentation,tabpfn_client,covariate_shift,0.4,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,GesturePhaseSegmentation,tabpfn_client,label_noise,0.0,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,GesturePhaseSegmentation,tabpfn_client,label_noise,0.05,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,GesturePhaseSegmentation,tabpfn_client,label_noise,0.1,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,GesturePhaseSegmentation,tabpfn_client,label_noise,0.2,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,GesturePhaseSegmentation,tabpfn_client,label_noise,0.3,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,GesturePhaseSegmentation,tabpfn_client,label_noise,0.4,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,MiceProtein,tabpfn_client,covariate_shift,0.0,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,MiceProtein,tabpfn_client,covariate_shift,0.05,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
problem,,,,,,,MiceProtein,tabpfn_client,covariate_shift,0.1,error,"RuntimeError: Fail to call predict with error: 429, Daily usage limit reached. Your daily limit is 50000000 cell predictions. Resets at 2026-07-30 00:00:00 UTC. To learn more or request an increase: h"
