model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
tabpfn_client,GesturePhaseSegmentation,covariate_shift,0.0,6.0,5.0,0.4,42
tabpfn_client,GesturePhaseSegmentation,label_noise,0.05,6.0,4.0,0.4,42
tabpfn_client,MiceProtein,covariate_shift,0.2,6.0,2.0,0.4,42
tabpfn_client,MiceProtein,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,PhishingWebsites,covariate_shift,0.4,6.0,0.0,0.4,42
tabpfn_client,PhishingWebsites,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,analcatdata_authorship,covariate_shift,0.2,6.0,2.0,0.4,42
tabpfn_client,analcatdata_authorship,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,breast-w,covariate_shift,0.1,6.0,3.0,0.4,42
tabpfn_client,breast-w,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,car,covariate_shift,0.4,6.0,0.0,0.4,42
tabpfn_client,car,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,churn,covariate_shift,0.1,6.0,3.0,0.4,42
tabpfn_client,churn,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,climate-model-simulation-crashes,covariate_shift,0.3,6.0,1.0,0.4,42
tabpfn_client,climate-model-simulation-crashes,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,cmc,covariate_shift,0.0,6.0,6.0,0.4,42
tabpfn_client,cmc,label_noise,0.0,6.0,6.0,0.4,42
tabpfn_client,cnae-9,covariate_shift,0.0,6.0,6.0,0.4,42
tabpfn_client,cnae-9,label_noise,0.0,6.0,6.0,0.4,42
tabpfn_client,credit-approval,covariate_shift,0.4,6.0,0.0,0.4,42
tabpfn_client,credit-approval,label_noise,0.2,6.0,2.0,0.4,42
tabpfn_client,credit-g,covariate_shift,0.4,6.0,0.0,0.4,42
tabpfn_client,credit-g,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,diabetes,covariate_shift,0.05,6.0,4.0,0.4,42
tabpfn_client,diabetes,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,dna,covariate_shift,0.4,6.0,0.0,0.4,42
tabpfn_client,dna,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,dresses-sales,covariate_shift,0.0,6.0,6.0,0.4,42
tabpfn_client,dresses-sales,label_noise,0.0,6.0,6.0,0.4,42
tabpfn_client,eucalyptus,covariate_shift,0.05,6.0,4.0,0.4,42
tabpfn_client,eucalyptus,label_noise,0.05,6.0,4.0,0.4,42
tabpfn_client,first-order-theorem-proving,covariate_shift,0.0,6.0,5.0,0.4,42
tabpfn_client,first-order-theorem-proving,label_noise,0.2,6.0,2.0,0.4,42
tabpfn_client,ilpd,covariate_shift,0.0,6.0,6.0,0.4,42
tabpfn_client,ilpd,label_noise,0.0,6.0,5.0,0.4,42
tabpfn_client,kc1,covariate_shift,0.0,6.0,5.0,0.4,42
tabpfn_client,kc1,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,kr-vs-kp,covariate_shift,0.4,6.0,0.0,0.4,42
tabpfn_client,kr-vs-kp,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,mfeat-factors,covariate_shift,0.2,6.0,2.0,0.4,42
tabpfn_client,mfeat-factors,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,mfeat-fourier,covariate_shift,0.2,6.0,2.0,0.4,42
tabpfn_client,mfeat-fourier,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,mfeat-karhunen,covariate_shift,0.3,6.0,1.0,0.4,42
tabpfn_client,mfeat-karhunen,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,mfeat-morphological,covariate_shift,0.0,6.0,5.0,0.4,42
tabpfn_client,mfeat-morphological,label_noise,0.1,6.0,3.0,0.4,42
tabpfn_client,mfeat-zernike,covariate_shift,0.2,6.0,2.0,0.4,42
