model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
tabpfn,GesturePhaseSegmentation,covariate_shift,0.0,6,5,0.4,1337
tabpfn,GesturePhaseSegmentation,label_noise,0.05,6,4,0.4,1337
tabpfn,MiceProtein,covariate_shift,0.2,6,1,0.4,1337
tabpfn,MiceProtein,label_noise,0.1,6,3,0.4,1337
tabpfn,PhishingWebsites,covariate_shift,0.4,6,0,0.4,1337
tabpfn,PhishingWebsites,label_noise,0.1,6,3,0.4,1337
tabpfn,analcatdata_authorship,covariate_shift,0.2,6,2,0.4,1337
tabpfn,analcatdata_authorship,label_noise,0.1,6,3,0.4,1337
tabpfn,breast-w,covariate_shift,0.1,6,3,0.4,1337
tabpfn,breast-w,label_noise,0.1,6,3,0.4,1337
tabpfn,car,covariate_shift,0.4,6,0,0.4,1337
tabpfn,car,label_noise,0.1,6,3,0.4,1337
tabpfn,churn,covariate_shift,0.1,6,3,0.4,1337
tabpfn,churn,label_noise,0.1,6,3,0.4,1337
tabpfn,climate-model-simulation-crashes,covariate_shift,0.3,6,1,0.4,1337
tabpfn,climate-model-simulation-crashes,label_noise,0.1,6,3,0.4,1337
tabpfn,cmc,covariate_shift,0.0,6,6,0.4,1337
tabpfn,cmc,label_noise,0.0,6,6,0.4,1337
tabpfn,cnae-9,covariate_shift,0.0,6,6,0.4,1337
tabpfn,cnae-9,label_noise,0.0,6,6,0.4,1337
tabpfn,credit-approval,covariate_shift,0.2,6,2,0.4,1337
tabpfn,credit-approval,label_noise,0.1,6,3,0.4,1337
tabpfn,credit-g,covariate_shift,0.3,6,1,0.4,1337
tabpfn,credit-g,label_noise,0.05,6,4,0.4,1337
tabpfn,diabetes,covariate_shift,0.05,6,4,0.4,1337
tabpfn,diabetes,label_noise,0.2,6,2,0.4,1337
tabpfn,dna,covariate_shift,0.4,6,0,0.4,1337
tabpfn,dna,label_noise,0.1,6,3,0.4,1337
tabpfn,dresses-sales,covariate_shift,0.0,6,6,0.4,1337
tabpfn,dresses-sales,label_noise,0.0,6,6,0.4,1337
tabpfn,eucalyptus,covariate_shift,0.1,6,3,0.4,1337
tabpfn,eucalyptus,label_noise,0.05,6,4,0.4,1337
tabpfn,first-order-theorem-proving,covariate_shift,0.0,6,5,0.4,1337
tabpfn,first-order-theorem-proving,label_noise,0.2,6,2,0.4,1337
tabpfn,ilpd,covariate_shift,0.0,6,5,0.4,1337
tabpfn,ilpd,label_noise,0.1,6,3,0.4,1337
tabpfn,kc1,covariate_shift,0.0,6,5,0.4,1337
tabpfn,kc1,label_noise,0.1,6,3,0.4,1337
tabpfn,kr-vs-kp,covariate_shift,0.4,6,0,0.4,1337
tabpfn,kr-vs-kp,label_noise,0.1,6,3,0.4,1337
tabpfn,mfeat-factors,covariate_shift,0.1,6,2,0.4,1337
tabpfn,mfeat-factors,label_noise,0.1,6,3,0.4,1337
tabpfn,mfeat-fourier,covariate_shift,0.3,6,1,0.4,1337
tabpfn,mfeat-fourier,label_noise,0.1,6,3,0.4,1337
tabpfn,mfeat-karhunen,covariate_shift,0.2,6,2,0.4,1337
tabpfn,mfeat-karhunen,label_noise,0.1,6,3,0.4,1337
tabpfn,mfeat-morphological,covariate_shift,0.0,6,4,0.4,1337
tabpfn,mfeat-morphological,label_noise,0.1,6,3,0.4,1337
tabpfn,mfeat-zernike,covariate_shift,0.1,6,3,0.4,1337
tabpfn,mfeat-zernike,label_noise,0.1,6,3,0.4,1337
tabpfn,optdigits,covariate_shift,0.0,6,5,0.4,1337
tabpfn,optdigits,label_noise,0.1,6,3,0.4,1337
tabpfn,ozone-level-8hr,covariate_shift,0.4,6,0,0.4,1337
tabpfn,ozone-level-8hr,label_noise,0.1,6,3,0.4,1337
tabpfn,pc1,covariate_shift,0.2,6,2,0.4,1337
tabpfn,pc1,label_noise,0.1,6,3,0.4,1337
tabpfn,pc3,covariate_shift,0.05,6,4,0.4,1337
tabpfn,pc3,label_noise,0.1,6,3,0.4,1337
tabpfn,pc4,covariate_shift,0.4,6,0,0.4,1337
tabpfn,pc4,label_noise,0.1,6,3,0.4,1337
tabpfn,pendigits,covariate_shift,0.1,6,3,0.4,1337
tabpfn,pendigits,label_noise,0.1,6,3,0.4,1337
tabpfn,phoneme,covariate_shift,0.05,6,4,0.4,1337
tabpfn,phoneme,label_noise,0.1,6,3,0.4,1337
tabpfn,qsar-biodeg,covariate_shift,0.0,6,5,0.4,1337
tabpfn,qsar-biodeg,label_noise,0.1,6,3,0.4,1337
tabpfn,satimage,covariate_shift,0.1,6,3,0.4,1337
tabpfn,satimage,label_noise,0.1,6,3,0.4,1337
tabpfn,segment,covariate_shift,0.05,6,4,0.4,1337
tabpfn,segment,label_noise,0.1,6,3,0.4,1337
tabpfn,spambase,covariate_shift,0.05,6,4,0.4,1337
tabpfn,spambase,label_noise,0.1,6,3,0.4,1337
tabpfn,splice,covariate_shift,0.4,6,0,0.4,1337
tabpfn,splice,label_noise,0.1,6,3,0.4,1337
tabpfn,steel-plates-fault,covariate_shift,0.0,6,5,0.4,1337
tabpfn,steel-plates-fault,label_noise,0.1,6,3,0.4,1337
tabpfn,texture,covariate_shift,0.2,6,2,0.4,1337
tabpfn,texture,label_noise,0.1,6,3,0.4,1337
tabpfn,tic-tac-toe,covariate_shift,0.4,6,0,0.4,1337
tabpfn,tic-tac-toe,label_noise,0.05,6,4,0.4,1337
tabpfn,vehicle,covariate_shift,0.1,6,2,0.4,1337
tabpfn,vehicle,label_noise,0.05,6,4,0.4,1337
tabpfn,vowel,covariate_shift,0.2,6,1,0.4,1337
tabpfn,vowel,label_noise,0.1,6,3,0.4,1337
tabpfn,wall-robot-navigation,covariate_shift,0.0,6,5,0.4,1337
tabpfn,wall-robot-navigation,label_noise,0.1,6,3,0.4,1337
tabpfn,wdbc,covariate_shift,0.05,6,4,0.4,1337
tabpfn,wdbc,label_noise,0.05,6,4,0.4,1337
