dataset_id,n_rows,n_features,n_classes,numeric_feature_ratio,categorical_feature_ratio,mean_cardinality,max_cardinality,class_imbalance_ratio,missing_rate,duplicate_rate,train_test_duplicate_rate,feature_shift_proxy
kr-vs-kp,3196,36,2,0.0,1.0,2.0277777777777777,3.0,1.0929927963326784,0.0,0.0,0.0,0.4760850539943932
breast-w,699,9,2,1.0,0.0,0.0,0.0,1.900414937759336,0.0025433158480368,0.3376251788268956,0.3904761904761905,0.530032135553608
mfeat-fourier,2000,76,10,1.0,0.0,0.0,0.0,1.0,0.0,0.003,0.0066666666666666,0.4835427752402483
mfeat-karhunen,2000,64,10,1.0,0.0,0.0,0.0,1.0,0.0,0.003,0.005,0.5130411600542838
mfeat-morphological,2000,6,10,1.0,0.0,0.0,0.0,1.0,0.0,0.056,0.09,0.44885728464953
mfeat-zernike,2000,47,10,1.0,0.0,0.0,0.0,1.0,0.0,0.003,0.0083333333333333,0.4653912632913952
mfeat-factors,2000,216,10,1.0,0.0,0.0,0.0,1.0,0.0,0.003,0.0016666666666666,0.4967294666899486
cmc,1473,9,3,0.2222222222222222,0.7777777777777778,3.142857142857143,4.0,1.8888888888888888,0.0,0.0780719619823489,0.1221719457013574,0.4666153118336316
credit-approval,690,15,2,0.4,0.6,4.444444444444445,14.0,1.247557003257329,0.0064734299516908,0.0,0.0,0.5101869355177484
credit-g,1000,20,2,0.35,0.65,4.153846153846154,10.0,2.333333333333333,0.0,0.0,0.0,0.4774872528520597
diabetes,768,8,2,1.0,0.0,0.0,0.0,1.8656716417910448,0.0,0.0,0.0,0.5082105975960725
tic-tac-toe,958,9,2,0.0,1.0,3.0,3.0,1.8855421686746987,0.0,0.0,0.0,0.452024012496441
vehicle,846,18,4,1.0,0.0,0.0,0.0,1.0954773869346734,0.0,0.0,0.0,0.5052704477507902
spambase,4601,57,2,1.0,0.0,0.0,0.0,1.5377826806398236,0.0,0.0856335579221908,0.1100651701665459,0.508688967805001
analcatdata_authorship,841,70,4,1.0,0.0,0.0,0.0,5.763636363636364,0.0,0.0,0.0,0.4664044189104213
pc4,1458,37,2,1.0,0.0,0.0,0.0,7.191011235955056,0.0,0.078875171467764,0.1004566210045662,0.5103511952726296
pc3,1563,37,2,1.0,0.0,0.0,0.0,8.76875,0.0,0.0812539987204094,0.0724946695095948,0.5130508794543346
kc1,2109,21,2,1.0,0.0,0.0,0.0,5.469325153374233,0.0,0.4348032242769085,0.4770932069510268,0.5001444919662467
pc1,1109,21,2,1.0,0.0,0.0,0.0,13.402597402597404,0.0,0.145175834084761,0.1771771771771771,0.5541626523713261
ilpd,583,10,2,0.9,0.1,2.0,2.0,2.4910179640718564,0.0,0.0222984562607204,0.0171428571428571,0.462541971785792
qsar-biodeg,1055,41,2,1.0,0.0,0.0,0.0,1.963483146067416,0.0,0.0028436018957345,0.0094637223974763,0.4772086233890191
