dataset_id,n_rows,n_features,n_classes,numeric_feature_ratio,categorical_feature_ratio,mean_cardinality,max_cardinality,class_imbalance_ratio,missing_rate,duplicate_rate,train_test_duplicate_rate,feature_shift_proxy
kr-vs-kp,3196,36,2,0.0,1.0,2.0277777777777777,3.0,1.0929927963326784,0.0,0.0,0.0,0.47608505399439327
breast-w,699,9,2,1.0,0.0,0.0,0.0,1.900414937759336,0.002543315848036878,0.3376251788268956,0.3904761904761905,0.530032135553608
mfeat-fourier,2000,76,10,1.0,0.0,0.0,0.0,1.0,0.0,0.003,0.006666666666666667,0.48354277524024836
mfeat-karhunen,2000,64,10,1.0,0.0,0.0,0.0,1.0,0.0,0.003,0.005,0.5130411600542838
mfeat-morphological,2000,6,10,1.0,0.0,0.0,0.0,1.0,0.0,0.056,0.09,0.44885728464953
mfeat-zernike,2000,47,10,1.0,0.0,0.0,0.0,1.0,0.0,0.003,0.008333333333333333,0.4653912632913952
mfeat-factors,2000,216,10,1.0,0.0,0.0,0.0,1.0,0.0,0.003,0.0016666666666666668,0.49672946668994866
cmc,1473,9,3,0.2222222222222222,0.7777777777777778,3.142857142857143,4.0,1.8888888888888888,0.0,0.07807196198234895,0.12217194570135746,0.46661531183363164
credit-approval,690,15,2,0.4,0.6,4.444444444444445,14.0,1.247557003257329,0.006473429951690821,0.0,0.0,0.5101869355177484
credit-g,1000,20,2,0.35,0.65,4.153846153846154,10.0,2.3333333333333335,0.0,0.0,0.0,0.47748725285205973
diabetes,768,8,2,1.0,0.0,0.0,0.0,1.8656716417910448,0.0,0.0,0.0,0.5082105975960725
tic-tac-toe,958,9,2,0.0,1.0,3.0,3.0,1.8855421686746987,0.0,0.0,0.0,0.45202401249644103
vehicle,846,18,4,1.0,0.0,0.0,0.0,1.0954773869346734,0.0,0.0,0.0,0.5052704477507902
spambase,4601,57,2,1.0,0.0,0.0,0.0,1.5377826806398236,0.0,0.08563355792219082,0.11006517016654598,0.508688967805001
analcatdata_authorship,841,70,4,1.0,0.0,0.0,0.0,5.763636363636364,0.0,0.0,0.0,0.4664044189104213
