model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
catboost,car,covariate_shift,0.4,6,0,0.4,42
catboost,car,label_noise,0.0,6,5,0.4,42
catboost,churn,covariate_shift,0.05,6,4,0.4,42
catboost,churn,label_noise,0.05,6,4,0.4,42
catboost,credit-approval,covariate_shift,0.1,6,3,0.4,42
catboost,credit-approval,label_noise,0.1,6,3,0.4,42
catboost,credit-g,covariate_shift,0.4,6,0,0.4,42
catboost,credit-g,label_noise,0.1,6,3,0.4,42
catboost,eucalyptus,covariate_shift,0.0,6,6,0.4,42
catboost,eucalyptus,label_noise,0.0,6,5,0.4,42
catboost,kr-vs-kp,covariate_shift,0.4,6,0,0.4,42
catboost,kr-vs-kp,label_noise,0.0,6,5,0.4,42
catboost,optdigits,covariate_shift,0.1,6,3,0.4,42
catboost,optdigits,label_noise,0.05,6,4,0.4,42
catboost,pc1,covariate_shift,0.0,6,5,0.4,42
catboost,pc1,label_noise,0.0,6,5,0.4,42
catboost,splice,covariate_shift,0.4,6,0,0.4,42
catboost,splice,label_noise,0.05,6,4,0.4,42
catboost,steel-plates-fault,covariate_shift,0.4,6,0,0.4,42
catboost,steel-plates-fault,label_noise,0.0,6,5,0.4,42
catboost,vehicle,covariate_shift,0.0,6,5,0.4,42
catboost,vehicle,label_noise,0.05,6,4,0.4,42
catboost,wdbc,covariate_shift,0.0,6,5,0.4,42
catboost,wdbc,label_noise,0.05,6,4,0.4,42
hist_gbdt,car,covariate_shift,0.4,6,0,0.4,42
hist_gbdt,car,label_noise,0.05,6,4,0.4,42
hist_gbdt,churn,covariate_shift,0.05,6,4,0.4,42
hist_gbdt,churn,label_noise,0.05,6,4,0.4,42
hist_gbdt,credit-approval,covariate_shift,0.0,6,6,0.4,42
hist_gbdt,credit-approval,label_noise,0.0,6,6,0.4,42
hist_gbdt,credit-g,covariate_shift,0.0,6,6,0.4,42
hist_gbdt,credit-g,label_noise,0.0,6,6,0.4,42
hist_gbdt,eucalyptus,covariate_shift,0.0,6,6,0.4,42
hist_gbdt,eucalyptus,label_noise,0.0,6,6,0.4,42
hist_gbdt,kr-vs-kp,covariate_shift,0.4,6,0,0.4,42
hist_gbdt,kr-vs-kp,label_noise,0.0,6,5,0.4,42
