seed,model,aure
42,catboost_tuned,0.0744318181818182
42,gbdt_ensemble,0.07727272727272727
42,lightgbm,0.057386363636363645
42,lightgbm_tuned,0.05795454545454546
42,xgboost_tuned,0.07500000000000001
1337,catboost_tuned,0.07272727272727274
1337,gbdt_ensemble,0.07272727272727274
1337,lightgbm,0.05056818181818182
1337,lightgbm_tuned,0.05511363636363636
1337,xgboost_tuned,0.06761363636363638
2025,catboost_tuned,0.06875
2025,gbdt_ensemble,0.07386363636363637
2025,lightgbm,0.057386363636363645
2025,lightgbm_tuned,0.048295454545454544
2025,xgboost_tuned,0.06477272727272729
