model,aure_published_baselines,aure_strong_baselines,lambda0_fail_published,lambda0_fail_strong
tabicl,0.09886363636363636,0.09772727272727275,0.06818181818181818,0.06818181818181818
gbdt_ensemble,,0.07727272727272727,,0.1590909090909091
xgboost_tuned,,0.07500000000000001,,0.11363636363636363
catboost_tuned,,0.0744318181818182,,0.11363636363636363
lightgbm_tuned,,0.05795454545454546,,0.1590909090909091
lightgbm,,0.057386363636363645,,0.4772727272727273
logreg,0.05056818181818182,0.0528409090909091,0.4318181818181818,0.4318181818181818
catboost,0.07613636363636364,,0.13636363636363635,
hist_gbdt,0.06477272727272726,,0.4318181818181818,
xgboost,0.06761363636363638,,0.4318181818181818,
