seed,model,aure
42,catboost_tuned,0.07443181818181818
42,gbdt_ensemble,0.07727272727272728
42,lightgbm,0.05738636363636363
42,lightgbm_tuned,0.05795454545454546
42,logreg,0.0528409090909091
42,tabicl,0.09772727272727272
42,tabpfn,0.0903409090909091
42,xgboost_tuned,0.07500000000000001
1337,catboost_tuned,0.07272727272727274
1337,gbdt_ensemble,0.07272727272727274
1337,lightgbm,0.05056818181818182
1337,lightgbm_tuned,0.05511363636363637
1337,logreg,0.048295454545454544
1337,tabicl,0.09772727272727272
1337,tabpfn,0.08750000000000001
1337,xgboost_tuned,0.06761363636363636
2025,catboost_tuned,0.06874999999999999
2025,gbdt_ensemble,0.07386363636363637
2025,lightgbm,0.05738636363636363
2025,lightgbm_tuned,0.048295454545454544
2025,logreg,0.04318181818181818
2025,tabicl,0.09375
2025,tabpfn,0.08409090909090909
2025,xgboost_tuned,0.06477272727272727
