model,dataset_id,shift_axis,base_seed,rho,n_lambda,n_failed,max_lambda
catboost_tuned,GesturePhaseSegmentation,covariate_shift,42,0.0,6,5,0.4
catboost_tuned,GesturePhaseSegmentation,covariate_shift,1337,0.0,6,5,0.4
catboost_tuned,GesturePhaseSegmentation,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,GesturePhaseSegmentation,label_noise,42,0.1,6,3,0.4
catboost_tuned,GesturePhaseSegmentation,label_noise,1337,0.1,6,3,0.4
catboost_tuned,GesturePhaseSegmentation,label_noise,2025,0.05,6,4,0.4
catboost_tuned,MiceProtein,covariate_shift,42,0.05,6,4,0.4
catboost_tuned,MiceProtein,covariate_shift,1337,0.05,6,4,0.4
catboost_tuned,MiceProtein,covariate_shift,2025,0.05,6,4,0.4
catboost_tuned,MiceProtein,label_noise,42,0.0,6,5,0.4
catboost_tuned,MiceProtein,label_noise,1337,0.0,6,5,0.4
catboost_tuned,MiceProtein,label_noise,2025,0.0,6,5,0.4
catboost_tuned,PhishingWebsites,covariate_shift,42,0.4,6,0,0.4
catboost_tuned,PhishingWebsites,covariate_shift,1337,0.4,6,0,0.4
catboost_tuned,PhishingWebsites,covariate_shift,2025,0.4,6,0,0.4
catboost_tuned,PhishingWebsites,label_noise,42,0.0,6,5,0.4
catboost_tuned,PhishingWebsites,label_noise,1337,0.0,6,5,0.4
catboost_tuned,PhishingWebsites,label_noise,2025,0.0,6,5,0.4
catboost_tuned,analcatdata_authorship,covariate_shift,42,0.05,6,4,0.4
catboost_tuned,analcatdata_authorship,covariate_shift,1337,0.1,6,3,0.4
catboost_tuned,analcatdata_authorship,covariate_shift,2025,0.05,6,4,0.4
catboost_tuned,analcatdata_authorship,label_noise,42,0.0,6,5,0.4
catboost_tuned,analcatdata_authorship,label_noise,1337,0.0,6,5,0.4
catboost_tuned,analcatdata_authorship,label_noise,2025,0.0,6,5,0.4
catboost_tuned,breast-w,covariate_shift,42,0.1,6,3,0.4
catboost_tuned,breast-w,covariate_shift,1337,0.1,6,3,0.4
catboost_tuned,breast-w,covariate_shift,2025,0.1,6,3,0.4
catboost_tuned,breast-w,label_noise,42,0.05,6,4,0.4
catboost_tuned,breast-w,label_noise,1337,0.05,6,4,0.4
catboost_tuned,breast-w,label_noise,2025,0.05,6,4,0.4
catboost_tuned,car,covariate_shift,42,0.4,6,0,0.4
catboost_tuned,car,covariate_shift,1337,0.4,6,0,0.4
catboost_tuned,car,covariate_shift,2025,0.4,6,0,0.4
catboost_tuned,car,label_noise,42,0.0,6,5,0.4
catboost_tuned,car,label_noise,1337,0.0,6,5,0.4
catboost_tuned,car,label_noise,2025,0.0,6,5,0.4
catboost_tuned,churn,covariate_shift,42,0.05,6,4,0.4
catboost_tuned,churn,covariate_shift,1337,0.05,6,4,0.4
catboost_tuned,churn,covariate_shift,2025,0.05,6,4,0.4
catboost_tuned,churn,label_noise,42,0.05,6,4,0.4
catboost_tuned,churn,label_noise,1337,0.05,6,4,0.4
catboost_tuned,churn,label_noise,2025,0.05,6,4,0.4
catboost_tuned,climate-model-simulation-crashes,covariate_shift,42,0.3,6,1,0.4
catboost_tuned,climate-model-simulation-crashes,covariate_shift,1337,0.1,6,3,0.4
catboost_tuned,climate-model-simulation-crashes,covariate_shift,2025,0.1,6,3,0.4
catboost_tuned,climate-model-simulation-crashes,label_noise,42,0.05,6,4,0.4
catboost_tuned,climate-model-simulation-crashes,label_noise,1337,0.0,6,5,0.4
catboost_tuned,climate-model-simulation-crashes,label_noise,2025,0.0,6,5,0.4
catboost_tuned,cmc,covariate_shift,42,0.0,6,6,0.4
catboost_tuned,cmc,covariate_shift,1337,0.0,6,6,0.4
catboost_tuned,cmc,covariate_shift,2025,0.0,6,6,0.4
catboost_tuned,cmc,label_noise,42,0.0,6,6,0.4
