model,aure_published_baselines,aure_published_sd,aure_strong_baselines,aure_strong_sd,lambda0_fail_published,lambda0_fail_strong
tabicl,0.09772727272727273,0.003006535580755213,0.09640151515151514,0.002296279479731459,0.05303030303030303,0.05303030303030303
tabpfn,0.08882575757575757,0.0017358241268772192,0.08731060606060607,0.00312930144732165,0.07575757575757576,0.07575757575757576
gbdt_ensemble,,,0.07462121212121213,0.0023655295448478803,,0.10606060606060606
catboost_tuned,,,0.07196969696969698,0.0029156826360493653,,0.09090909090909091
xgboost_tuned,,,0.06912878787878789,0.005279302979078176,,0.09848484848484848
lightgbm,,,0.055113636363636365,0.003936479108111081,,0.48484848484848486
lightgbm_tuned,,,0.053787878787878794,0.004964144856848928,,0.18181818181818182
logreg,0.051515151515151514,0.0021511016461364676,0.048106060606060604,0.00483232985688374,0.4090909090909091,0.42424242424242425
catboost,0.07443181818181818,0.003456115074033082,,,0.12121212121212122,
hist_gbdt,0.06401515151515151,0.00182644900776382,,,0.4318181818181818,
xgboost,0.06950757575757575,0.0017358241268772088,,,0.42424242424242425,
