model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda
catboost_tuned,car,covariate_shift,0.4,6,0,0.4
catboost_tuned,car,label_noise,0.0,6,5,0.4
catboost_tuned,churn,covariate_shift,0.05,6,4,0.4
catboost_tuned,churn,label_noise,0.05,6,4,0.4
catboost_tuned,credit-approval,covariate_shift,0.0,6,5,0.4
catboost_tuned,credit-approval,label_noise,0.05,6,4,0.4
catboost_tuned,credit-g,covariate_shift,0.4,6,0,0.4
catboost_tuned,credit-g,label_noise,0.1,6,3,0.4
catboost_tuned,eucalyptus,covariate_shift,0.0,6,5,0.4
catboost_tuned,eucalyptus,label_noise,0.05,6,4,0.4
catboost_tuned,kr-vs-kp,covariate_shift,0.4,6,0,0.4
catboost_tuned,kr-vs-kp,label_noise,0.0,6,5,0.4
catboost_tuned,optdigits,covariate_shift,0.1,6,3,0.4
catboost_tuned,optdigits,label_noise,0.0,6,5,0.4
catboost_tuned,pc1,covariate_shift,0.0,6,5,0.4
catboost_tuned,pc1,label_noise,0.05,6,4,0.4
catboost_tuned,splice,covariate_shift,0.4,6,0,0.4
catboost_tuned,splice,label_noise,0.0,6,5,0.4
catboost_tuned,steel-plates-fault,covariate_shift,0.4,6,0,0.4
catboost_tuned,steel-plates-fault,label_noise,0.0,6,5,0.4
catboost_tuned,vehicle,covariate_shift,0.05,6,4,0.4
catboost_tuned,vehicle,label_noise,0.05,6,4,0.4
catboost_tuned,wdbc,covariate_shift,0.0,6,5,0.4
catboost_tuned,wdbc,label_noise,0.05,6,4,0.4
hist_gbdt,car,covariate_shift,0.4,6,0,0.4
hist_gbdt,car,label_noise,0.05,6,4,0.4
hist_gbdt,churn,covariate_shift,0.05,6,4,0.4
hist_gbdt,churn,label_noise,0.05,6,4,0.4
hist_gbdt,credit-approval,covariate_shift,0.0,6,6,0.4
hist_gbdt,credit-approval,label_noise,0.0,6,6,0.4
hist_gbdt,credit-g,covariate_shift,0.0,6,6,0.4
hist_gbdt,credit-g,label_noise,0.0,6,6,0.4
hist_gbdt,eucalyptus,covariate_shift,0.0,6,6,0.4
hist_gbdt,eucalyptus,label_noise,0.0,6,6,0.4
hist_gbdt,kr-vs-kp,covariate_shift,0.4,6,0,0.4
hist_gbdt,kr-vs-kp,label_noise,0.0,6,5,0.4
hist_gbdt,optdigits,covariate_shift,0.1,6,3,0.4
hist_gbdt,optdigits,label_noise,0.2,6,2,0.4
hist_gbdt,pc1,covariate_shift,0.0,6,6,0.4
hist_gbdt,pc1,label_noise,0.0,6,6,0.4
hist_gbdt,splice,covariate_shift,0.4,6,0,0.4
hist_gbdt,splice,label_noise,0.1,6,3,0.4
hist_gbdt,steel-plates-fault,covariate_shift,0.4,6,0,0.4
hist_gbdt,steel-plates-fault,label_noise,0.05,6,4,0.4
hist_gbdt,vehicle,covariate_shift,0.0,6,6,0.4
hist_gbdt,vehicle,label_noise,0.0,6,6,0.4
hist_gbdt,wdbc,covariate_shift,0.0,6,5,0.4
hist_gbdt,wdbc,label_noise,0.1,6,3,0.4
logreg,car,covariate_shift,0.0,6,6,0.4
logreg,car,label_noise,0.0,6,6,0.4
logreg,churn,covariate_shift,0.0,6,6,0.4
logreg,churn,label_noise,0.0,6,6,0.4
logreg,credit-approval,covariate_shift,0.2,6,2,0.4
logreg,credit-approval,label_noise,0.1,6,3,0.4
logreg,credit-g,covariate_shift,0.1,6,3,0.4
logreg,credit-g,label_noise,0.1,6,3,0.4
logreg,eucalyptus,covariate_shift,0.0,6,5,0.4
logreg,eucalyptus,label_noise,0.0,6,5,0.4
logreg,kr-vs-kp,covariate_shift,0.0,6,6,0.4
logreg,kr-vs-kp,label_noise,0.0,6,6,0.4
logreg,optdigits,covariate_shift,0.2,6,2,0.4
logreg,optdigits,label_noise,0.0,6,5,0.4
logreg,pc1,covariate_shift,0.0,6,6,0.4
logreg,pc1,label_noise,0.0,6,5,0.4
logreg,splice,covariate_shift,0.4,6,0,0.4
logreg,splice,label_noise,0.0,6,5,0.4
logreg,steel-plates-fault,covariate_shift,0.05,6,4,0.4
logreg,steel-plates-fault,label_noise,0.0,6,5,0.4
logreg,vehicle,covariate_shift,0.1,6,3,0.4
logreg,vehicle,label_noise,0.05,6,4,0.4
logreg,wdbc,covariate_shift,0.05,6,4,0.4
logreg,wdbc,label_noise,0.05,6,4,0.4
tabicl,car,covariate_shift,0.4,6,0,0.4
tabicl,car,label_noise,0.05,6,4,0.4
tabicl,churn,covariate_shift,0.0,6,5,0.4
tabicl,churn,label_noise,0.0,6,5,0.4
tabicl,credit-approval,covariate_shift,0.1,6,3,0.4
tabicl,credit-approval,label_noise,0.1,6,3,0.4
tabicl,credit-g,covariate_shift,0.4,6,0,0.4
tabicl,credit-g,label_noise,0.1,6,3,0.4
tabicl,eucalyptus,covariate_shift,0.0,6,5,0.4
tabicl,eucalyptus,label_noise,0.05,6,4,0.4
tabicl,kr-vs-kp,covariate_shift,0.4,6,0,0.4
tabicl,kr-vs-kp,label_noise,0.0,6,5,0.4
tabicl,optdigits,covariate_shift,0.05,6,4,0.4
tabicl,optdigits,label_noise,0.1,6,3,0.4
tabicl,pc1,covariate_shift,0.0,6,5,0.4
tabicl,pc1,label_noise,0.05,6,4,0.4
tabicl,splice,covariate_shift,0.4,6,0,0.4
tabicl,splice,label_noise,0.1,6,3,0.4
tabicl,steel-plates-fault,covariate_shift,0.0,6,5,0.4
tabicl,steel-plates-fault,label_noise,0.05,6,4,0.4
tabicl,vehicle,covariate_shift,0.1,6,3,0.4
tabicl,vehicle,label_noise,0.1,6,3,0.4
tabicl,wdbc,covariate_shift,0.05,6,4,0.4
tabicl,wdbc,label_noise,0.1,6,3,0.4
tabpfn_client,car,covariate_shift,0.4,6,0,0.4
tabpfn_client,car,label_noise,0.05,6,4,0.4
tabpfn_client,churn,covariate_shift,0.05,6,4,0.4
tabpfn_client,churn,label_noise,0.05,6,4,0.4
tabpfn_client,credit-approval,covariate_shift,0.1,6,3,0.4
tabpfn_client,credit-approval,label_noise,0.1,6,3,0.4
tabpfn_client,credit-g,covariate_shift,0.4,6,0,0.4
tabpfn_client,credit-g,label_noise,0.1,6,3,0.4
tabpfn_client,eucalyptus,covariate_shift,0.0,6,5,0.4
tabpfn_client,eucalyptus,label_noise,0.05,6,4,0.4
tabpfn_client,kr-vs-kp,covariate_shift,0.4,6,0,0.4
tabpfn_client,kr-vs-kp,label_noise,0.0,6,5,0.4
tabpfn_client,optdigits,covariate_shift,0.0,6,5,0.4
tabpfn_client,optdigits,label_noise,0.1,6,3,0.4
tabpfn_client,pc1,covariate_shift,0.05,6,4,0.4
tabpfn_client,pc1,label_noise,0.05,6,4,0.4
tabpfn_client,splice,covariate_shift,0.4,6,0,0.4
tabpfn_client,splice,label_noise,0.05,6,4,0.4
tabpfn_client,steel-plates-fault,covariate_shift,0.0,6,5,0.4
tabpfn_client,steel-plates-fault,label_noise,0.05,6,4,0.4
tabpfn_client,vehicle,covariate_shift,0.05,6,4,0.4
tabpfn_client,vehicle,label_noise,0.1,6,3,0.4
tabpfn_client,wdbc,covariate_shift,0.05,6,4,0.4
tabpfn_client,wdbc,label_noise,0.1,6,3,0.4
xgboost_tuned,car,covariate_shift,0.4,6,0,0.4
xgboost_tuned,car,label_noise,0.0,6,5,0.4
xgboost_tuned,churn,covariate_shift,0.05,6,4,0.4
xgboost_tuned,churn,label_noise,0.05,6,4,0.4
xgboost_tuned,credit-approval,covariate_shift,0.05,6,4,0.4
xgboost_tuned,credit-approval,label_noise,0.1,6,3,0.4
xgboost_tuned,credit-g,covariate_shift,0.4,6,0,0.4
xgboost_tuned,credit-g,label_noise,0.05,6,4,0.4
xgboost_tuned,eucalyptus,covariate_shift,0.0,6,6,0.4
xgboost_tuned,eucalyptus,label_noise,0.0,6,5,0.4
xgboost_tuned,kr-vs-kp,covariate_shift,0.4,6,0,0.4
xgboost_tuned,kr-vs-kp,label_noise,0.0,6,5,0.4
xgboost_tuned,optdigits,covariate_shift,0.1,6,3,0.4
xgboost_tuned,optdigits,label_noise,0.05,6,4,0.4
xgboost_tuned,pc1,covariate_shift,0.05,6,4,0.4
xgboost_tuned,pc1,label_noise,0.0,6,5,0.4
xgboost_tuned,splice,covariate_shift,0.4,6,0,0.4
xgboost_tuned,splice,label_noise,0.0,6,5,0.4
xgboost_tuned,steel-plates-fault,covariate_shift,0.4,6,0,0.4
xgboost_tuned,steel-plates-fault,label_noise,0.0,6,5,0.4
xgboost_tuned,vehicle,covariate_shift,0.05,6,4,0.4
xgboost_tuned,vehicle,label_noise,0.05,6,4,0.4
xgboost_tuned,wdbc,covariate_shift,0.0,6,5,0.4
xgboost_tuned,wdbc,label_noise,0.05,6,4,0.4
