dataset_id,model,family,shift_axis,shift_lambda,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
car,hist_gbdt,gbdt,covariate_shift,0.0,test_only,True,low,True,ok,,0.9922928709055876,0.9999892380542402,0.0161292459301062,0.0116347915583214,0.0099025205497961,0.4933692223773665,1209,xgboost_tuned,0.4892056833724835,False,,
car,hist_gbdt,gbdt,covariate_shift,0.05,test_only,True,low,True,ok,,0.9922928709055876,0.9999892380542402,0.0161292459301062,0.0116347915583214,0.0099025205497961,0.4933692223773665,1209,xgboost_tuned,0.4892056833724835,False,,
car,hist_gbdt,gbdt,covariate_shift,0.1,test_only,True,low,True,ok,,0.9922928709055876,0.9999892380542402,0.0161292459301062,0.0116347915583214,0.0099025205497961,0.4933692223773665,1209,xgboost_tuned,0.4892056833724835,False,,
car,hist_gbdt,gbdt,covariate_shift,0.2,test_only,True,low,True,ok,,0.9922928709055876,0.9999892380542402,0.0161292459301062,0.0116347915583214,0.0099025205497961,0.4933692223773665,1209,xgboost_tuned,0.4892056833724835,False,,
car,hist_gbdt,gbdt,covariate_shift,0.3,test_only,True,low,True,ok,,0.9922928709055876,0.9999892380542402,0.0161292459301062,0.0116347915583214,0.0099025205497961,0.4933692223773665,1209,xgboost_tuned,0.4892056833724835,False,,
car,hist_gbdt,gbdt,covariate_shift,0.4,test_only,True,low,True,ok,,0.9922928709055876,0.9999892380542402,0.0161292459301062,0.0116347915583214,0.0099025205497961,0.4933692223773665,1209,xgboost_tuned,0.4892056833724835,False,,
car,logreg,linear,covariate_shift,0.0,test_only,True,low,True,ok,,0.8959537572254336,0.9874833511741764,0.2259931441901079,0.1630195941989866,0.0494974972695001,0.4212068587811807,1209,xgboost_tuned,0.4892056833724835,True,utility_gap,
car,logreg,linear,covariate_shift,0.05,test_only,True,low,True,ok,,0.8959537572254336,0.9874833511741764,0.2259931441901079,0.1630195941989866,0.0494974972695001,0.4212068587811807,1209,xgboost_tuned,0.4892056833724835,True,utility_gap,
car,logreg,linear,covariate_shift,0.1,test_only,True,low,True,ok,,0.8959537572254336,0.9874833511741764,0.2259931441901079,0.1630195941989866,0.0494974972695001,0.4212068587811807,1209,xgboost_tuned,0.4892056833724835,True,utility_gap,
car,logreg,linear,covariate_shift,0.2,test_only,True,low,True,ok,,0.8959537572254336,0.9874833511741764,0.2259931441901079,0.1630195941989866,0.0494974972695001,0.4212068587811807,1209,xgboost_tuned,0.4892056833724835,True,utility_gap,
car,logreg,linear,covariate_shift,0.3,test_only,True,low,True,ok,,0.8959537572254336,0.9874833511741764,0.2259931441901079,0.1630195941989866,0.0494974972695001,0.4212068587811807,1209,xgboost_tuned,0.4892056833724835,True,utility_gap,
car,logreg,linear,covariate_shift,0.4,test_only,True,low,True,ok,,0.8959537572254336,0.9874833511741764,0.2259931441901079,0.1630195941989866,0.0494974972695001,0.4212068587811807,1209,xgboost_tuned,0.4892056833724835,True,utility_gap,
car,hist_gbdt,gbdt,label_noise,0.0,train_only,True,low,True,ok,,0.9922928709055876,0.9999892380542402,0.0161292459301062,0.0116347915583214,0.0099025205497961,0.4933692223773665,1209,xgboost_tuned,0.4892056833724835,False,,
car,hist_gbdt,gbdt,label_noise,0.05,train_only,True,low,True,ok,,0.9710982658959536,0.9982009272581756,0.0900518486391898,0.0649586777273213,0.0251315895281255,0.4705211432009329,1209,xgboost_tuned,0.4892056833724835,False,,
car,hist_gbdt,gbdt,label_noise,0.1,train_only,True,low,True,ok,,0.9402697495183044,0.9935764302588704,0.1584688373509512,0.1143111028908285,0.0503734841873982,0.444424185313622,1209,xgboost_tuned,0.4892056833724835,True,utility_gap,
car,hist_gbdt,gbdt,label_noise,0.2,train_only,True,low,True,ok,,0.8747591522157996,0.9706613172605948,0.3546759205144856,0.2558445958244882,0.0713057784247304,0.3799307994412856,1209,xgboost_tuned,0.4892056833724835,True,utility_gap,
car,hist_gbdt,gbdt,label_noise,0.3,train_only,True,low,True,ok,,0.8285163776493256,0.92295815084757,0.5320067208203224,0.3837617289235392,0.1033816740195446,0.3115079559630776,1209,xgboost_tuned,0.4892056833724835,True,utility_gap;ece,
car,hist_gbdt,gbdt,label_noise,0.4,train_only,True,low,True,ok,,0.697495183044316,0.8396819182909977,0.7683428422186184,0.554242204085666,0.0508216417109529,0.2220759592906061,1209,xgboost_tuned,0.4892056833724835,True,utility_gap,
car,logreg,linear,label_noise,0.0,train_only,True,low,True,ok,,0.8959537572254336,0.9874833511741764,0.2259931441901079,0.1630195941989866,0.0494974972695001,0.4212068587811807,1209,xgboost_tuned,0.4892056833724835,True,utility_gap,
car,logreg,linear,label_noise,0.05,train_only,True,low,True,ok,,0.8805394990366089,0.9729522241767262,0.3576482657537524,0.2579886896927384,0.1112545095437178,0.3729666945007804,1209,xgboost_tuned,0.4892056833724835,True,utility_gap;ece,
car,logreg,linear,label_noise,0.1,train_only,True,low,True,ok,,0.838150289017341,0.9494422604691188,0.4585196547869001,0.3307520160555901,0.1241248754602716,0.3339767546080613,1209,xgboost_tuned,0.4892056833724835,True,utility_gap;ece,
