model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda
catboost_tuned,car,covariate_shift,0.4,6,0,0.4
catboost_tuned,car,label_noise,0.0,6,5,0.4
catboost_tuned,churn,covariate_shift,0.05,6,4,0.4
catboost_tuned,churn,label_noise,0.05,6,4,0.4
catboost_tuned,credit-approval,covariate_shift,0.0,6,5,0.4
catboost_tuned,credit-approval,label_noise,0.05,6,4,0.4
catboost_tuned,credit-g,covariate_shift,0.4,6,0,0.4
catboost_tuned,credit-g,label_noise,0.1,6,3,0.4
catboost_tuned,eucalyptus,covariate_shift,0.0,6,5,0.4
catboost_tuned,eucalyptus,label_noise,0.05,6,4,0.4
catboost_tuned,kr-vs-kp,covariate_shift,0.4,6,0,0.4
catboost_tuned,kr-vs-kp,label_noise,0.0,6,5,0.4
catboost_tuned,optdigits,covariate_shift,0.1,6,3,0.4
catboost_tuned,optdigits,label_noise,0.0,6,5,0.4
catboost_tuned,pc1,covariate_shift,0.0,6,5,0.4
catboost_tuned,pc1,label_noise,0.05,6,4,0.4
catboost_tuned,splice,covariate_shift,0.4,6,0,0.4
catboost_tuned,splice,label_noise,0.0,6,5,0.4
catboost_tuned,steel-plates-fault,covariate_shift,0.4,6,0,0.4
catboost_tuned,steel-plates-fault,label_noise,0.0,6,5,0.4
catboost_tuned,vehicle,covariate_shift,0.05,6,4,0.4
catboost_tuned,vehicle,label_noise,0.05,6,4,0.4
catboost_tuned,wdbc,covariate_shift,0.0,6,5,0.4
catboost_tuned,wdbc,label_noise,0.05,6,4,0.4
xgboost_tuned,car,covariate_shift,0.4,6,0,0.4
xgboost_tuned,car,label_noise,0.0,6,5,0.4
xgboost_tuned,churn,covariate_shift,0.05,6,4,0.4
xgboost_tuned,churn,label_noise,0.05,6,4,0.4
xgboost_tuned,credit-approval,covariate_shift,0.05,6,4,0.4
xgboost_tuned,credit-approval,label_noise,0.1,6,3,0.4
xgboost_tuned,credit-g,covariate_shift,0.4,6,0,0.4
xgboost_tuned,credit-g,label_noise,0.05,6,4,0.4
xgboost_tuned,eucalyptus,covariate_shift,0.0,6,6,0.4
xgboost_tuned,eucalyptus,label_noise,0.0,6,5,0.4
xgboost_tuned,kr-vs-kp,covariate_shift,0.4,6,0,0.4
xgboost_tuned,kr-vs-kp,label_noise,0.0,6,5,0.4
xgboost_tuned,optdigits,covariate_shift,0.1,6,3,0.4
xgboost_tuned,optdigits,label_noise,0.05,6,4,0.4
xgboost_tuned,pc1,covariate_shift,0.05,6,4,0.4
xgboost_tuned,pc1,label_noise,0.0,6,5,0.4
xgboost_tuned,splice,covariate_shift,0.4,6,0,0.4
xgboost_tuned,splice,label_noise,0.0,6,5,0.4
xgboost_tuned,steel-plates-fault,covariate_shift,0.4,6,0,0.4
xgboost_tuned,steel-plates-fault,label_noise,0.0,6,5,0.4
xgboost_tuned,vehicle,covariate_shift,0.05,6,4,0.4
xgboost_tuned,vehicle,label_noise,0.05,6,4,0.4
xgboost_tuned,wdbc,covariate_shift,0.0,6,5,0.4
xgboost_tuned,wdbc,label_noise,0.05,6,4,0.4
