level,total_expected,ok_rows,skipped_rows,error_rows,n_datasets,n_datasets_fully_ok,dataset_id,model,shift_axis,shift_lambda,status,reason
run,4752.0,1512.0,3240.0,0.0,44.0,14.0,,,,,,
problem,,,,,,,GesturePhaseSegmentation,catboost,categorical_covariate_shift,0.0,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,catboost,categorical_covariate_shift,0.05,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,catboost,categorical_covariate_shift,0.1,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,catboost,categorical_covariate_shift,0.2,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,catboost,categorical_covariate_shift,0.3,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,catboost,categorical_covariate_shift,0.4,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,hist_gbdt,categorical_covariate_shift,0.0,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,hist_gbdt,categorical_covariate_shift,0.05,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,hist_gbdt,categorical_covariate_shift,0.1,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,hist_gbdt,categorical_covariate_shift,0.2,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,hist_gbdt,categorical_covariate_shift,0.3,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,hist_gbdt,categorical_covariate_shift,0.4,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,logreg,categorical_covariate_shift,0.0,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,logreg,categorical_covariate_shift,0.05,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,logreg,categorical_covariate_shift,0.1,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,logreg,categorical_covariate_shift,0.2,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,logreg,categorical_covariate_shift,0.3,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,logreg,categorical_covariate_shift,0.4,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,tabicl,categorical_covariate_shift,0.0,skipped,shift not applicable: dataset has no categorical features
problem,,,,,,,GesturePhaseSegmentation,tabicl,categorical_covariate_shift,0.05,skipped,shift not applicable: dataset has no categorical features
