seed,model,aure,n_envelopes,aure_class_imbalance,aure_context_budget,aure_covariate_shift,aure_label_noise,aure_missingness_shift,aure_rare_category_shift
0,catboost,0.16538461538461538,26,0.30000000000000004,0.3,0.08,0.06,0.06,0.3
0,hist_gbdt,0.11923076923076922,26,0.19,0.26,0.06999999999999999,0.07,0.02,0.05
0,logreg,0.14038461538461539,26,0.24000000000000005,0.24000000000000005,0.09,0.02,0.13999999999999999,0.0
0,tabicl,0.23461538461538461,26,0.4,0.4,0.15,0.07,0.12000000000000002,0.4
0,tabpfn_client,0.23076923076923078,26,0.4,0.4,0.13,0.06999999999999999,0.12000000000000002,0.4
0,xgboost,0.10769230769230768,26,0.2,0.24000000000000005,0.04,0.04,0.04,0.0
1,catboost,0.18076923076923077,26,0.36000000000000004,0.32,0.05,0.06,0.09,0.3
1,hist_gbdt,0.10961538461538461,26,0.2,0.25,0.04,0.05,0.030000000000000006,0.0
1,logreg,0.13269230769230772,26,0.24000000000000005,0.24000000000000005,0.11000000000000001,0.0,0.1,0.0
1,tabicl,0.24423076923076922,26,0.4,0.4,0.16,0.06999999999999999,0.16,0.4
1,tabpfn_client,0.22307692307692303,26,0.4,0.4,0.12,0.06,0.1,0.4
1,xgboost,0.11730769230769231,26,0.22000000000000003,0.25,0.030000000000000006,0.05,0.06,0.0
2,catboost,0.19615384615384615,26,0.38000000000000006,0.4,0.12000000000000002,0.06000000000000001,0.04,0.1
2,hist_gbdt,0.10192307692307692,26,0.24000000000000005,0.17,0.05,0.06,0.01,0.0
2,logreg,0.13846153846153847,26,0.24000000000000005,0.24000000000000005,0.1,0.01,0.13,0.0
2,tabicl,0.23461538461538461,26,0.4,0.4,0.14,0.07999999999999999,0.12,0.4
2,tabpfn_client,0.23076923076923078,26,0.4,0.4,0.12,0.09,0.11000000000000001,0.4
2,xgboost,0.10384615384615385,26,0.2,0.2,0.05,0.05,0.04,0.0
3,catboost,0.19615384615384615,26,0.36000000000000004,0.36000000000000004,0.11000000000000001,0.05,0.1,0.2
3,hist_gbdt,0.11346153846153847,26,0.2,0.22000000000000003,0.04,0.05,0.08,0.0
3,logreg,0.12884615384615386,26,0.24000000000000005,0.24000000000000005,0.11000000000000001,0.0,0.08,0.0
3,tabicl,0.2326923076923077,26,0.4,0.4,0.15,0.06,0.12,0.4
3,tabpfn_client,0.2326923076923077,26,0.4,0.4,0.15,0.06,0.12,0.4
3,xgboost,0.10192307692307692,26,0.2,0.2,0.04,0.04,0.05,0.0
4,catboost,0.19038461538461535,26,0.4,0.36000000000000004,0.08,0.04,0.09000000000000001,0.1
4,hist_gbdt,0.12884615384615386,26,0.26,0.26,0.04,0.06,0.05,0.0
4,logreg,0.12884615384615386,26,0.24000000000000005,0.24000000000000005,0.09,0.0,0.1,0.0
4,tabicl,0.23076923076923078,26,0.4,0.4,0.16,0.05,0.11000000000000001,0.4
4,tabpfn_client,0.22115384615384615,26,0.4,0.4,0.13999999999999999,0.04,0.09000000000000001,0.4
4,xgboost,0.0923076923076923,26,0.18,0.2,0.04,0.02,0.04,0.0
5,catboost,0.17884615384615382,26,0.33000000000000007,0.36000000000000004,0.07999999999999999,0.05,0.09,0.1
5,hist_gbdt,0.11153846153846156,26,0.18,0.18000000000000002,0.06,0.11000000000000001,0.05,0.0
5,logreg,0.14615384615384616,26,0.26,0.27999999999999997,0.09,0.01,0.12000000000000002,0.0
5,tabicl,0.24615384615384614,26,0.4,0.4,0.17,0.06000000000000001,0.17,0.4
5,tabpfn_client,0.22307692307692303,26,0.4,0.4,0.12,0.06,0.1,0.4
5,xgboost,0.06538461538461539,26,0.12000000000000002,0.12000000000000002,0.030000000000000006,0.030000000000000006,0.04,0.0
6,catboost,0.20384615384615387,26,0.38000000000000006,0.38000000000000006,0.09,0.06,0.11000000000000001,0.2
6,hist_gbdt,0.14615384615384613,26,0.3,0.32,0.04,0.06,0.04,0.0
6,logreg,0.12884615384615386,26,0.24000000000000005,0.24000000000000005,0.09,0.0,0.1,0.0
6,tabicl,0.24230769230769234,26,0.4,0.4,0.16,0.06999999999999999,0.15,0.4
6,tabpfn_client,0.23076923076923078,26,0.4,0.4,0.12,0.06999999999999999,0.13,0.4
6,xgboost,0.15769230769230771,26,0.32,0.32,0.05,0.04,0.09,0.0
7,catboost,0.18269230769230768,26,0.38000000000000006,0.34,0.06,0.02,0.09000000000000001,0.3
7,hist_gbdt,0.09423076923076922,26,0.18,0.17,0.04,0.05,0.05,0.0
7,logreg,0.12884615384615386,26,0.24000000000000005,0.24000000000000005,0.09,0.0,0.1,0.0
7,tabicl,0.23461538461538464,26,0.4,0.4,0.14,0.08,0.12000000000000002,0.4
7,tabpfn_client,0.2269230769230769,26,0.4,0.4,0.11000000000000001,0.06,0.13,0.4
7,xgboost,0.12692307692307692,26,0.32,0.21000000000000002,0.02,0.030000000000000006,0.07999999999999999,0.0
8,catboost,0.20192307692307693,26,0.38000000000000006,0.38000000000000006,0.1,0.06999999999999999,0.1,0.1
8,hist_gbdt,0.12692307692307692,26,0.24000000000000005,0.24000000000000005,0.04,0.08,0.06,0.0
8,logreg,0.12692307692307694,26,0.25,0.24000000000000005,0.06999999999999999,0.0,0.1,0.0
8,tabicl,0.2326923076923077,26,0.4,0.4,0.15,0.06,0.12,0.4
8,tabpfn_client,0.2288461538461538,26,0.4,0.4,0.13,0.06,0.12,0.4
8,xgboost,0.12884615384615383,26,0.32,0.24000000000000005,0.030000000000000006,0.05,0.030000000000000006,0.0
9,catboost,0.1519230769230769,26,0.27999999999999997,0.27999999999999997,0.05,0.030000000000000006,0.11000000000000001,0.2
9,hist_gbdt,0.11346153846153847,26,0.24000000000000005,0.24000000000000005,0.030000000000000006,0.04,0.04,0.0
9,logreg,0.12692307692307694,26,0.24000000000000005,0.24000000000000005,0.09,0.0,0.09,0.0
9,tabicl,0.2288461538461538,26,0.4,0.4,0.15,0.06,0.1,0.4
9,tabpfn_client,0.2269230769230769,26,0.4,0.4,0.13,0.06,0.11000000000000001,0.4
9,xgboost,0.1096153846153846,26,0.24000000000000005,0.24000000000000005,0.02,0.02,0.05,0.0
