model_a,model_b,seed_mean_delta,seed_ci95_lo,seed_ci95_hi,seed_wilcoxon_p,n_seeds,dataset_mean_delta,dataset_ci95_lo,dataset_ci95_hi,n_datasets,seed_p_holm,significant
catboost,hist_gbdt,0.06826923076923076,0.05749999999999998,0.07846153846153846,0.001953125,10,0.06540000000000001,0.014800000000000002,0.11600000000000002,5,0.029296875,True
catboost,logreg,0.052115384615384584,0.040961538461538424,0.06288461538461536,0.001953125,10,0.048266666666666666,-0.023400000000000004,0.12206666666666668,5,0.029296875,True
catboost,tabicl,-0.051346153846153854,-0.06134615384615384,-0.04173076923076925,0.001953125,10,-0.04819999999999999,-0.09179999999999999,-0.011599999999999994,5,0.029296875,True
catboost,tabpfn_client,-0.04269230769230768,-0.05288461538461536,-0.03403846153846154,0.001953125,10,-0.039266666666666665,-0.08380000000000001,-0.00799999999999999,5,0.029296875,True
catboost,xgboost,0.07365384615384615,0.05961538461538461,0.08826923076923075,0.001953125,10,0.07086666666666668,0.025000000000000005,0.11879999999999999,5,0.029296875,True
hist_gbdt,tabicl,-0.11961538461538464,-0.12865384615384615,-0.11057692307692309,0.001953125,10,-0.1136,-0.19561499999999987,-0.045799999999999993,5,0.029296875,True
hist_gbdt,tabpfn_client,-0.11096153846153844,-0.1194230769230769,-0.10192307692307692,0.001953125,10,-0.10466666666666666,-0.1883383333333321,-0.030800000000000004,5,0.029296875,True
logreg,tabicl,-0.10346153846153845,-0.10711538461538458,-0.09999999999999998,0.001953125,10,-0.09646666666666666,-0.20739999999999997,0.001600000000000007,5,0.029296875,True
tabpfn_client,xgboost,0.11634615384615384,0.10288461538461538,0.1296153846153846,0.001953125,10,0.11013333333333335,0.0352,0.19674166666666462,5,0.029296875,True
logreg,tabpfn_client,-0.09480769230769229,-0.09903846153846152,-0.08961538461538458,0.001953125,10,-0.08753333333333332,-0.19999999999999998,0.013800000000000002,5,0.029296875,True
tabicl,xgboost,0.125,0.11115384615384616,0.14076923076923079,0.001953125,10,0.11906666666666665,0.0474,0.20179999999999998,5,0.029296875,True
tabicl,tabpfn_client,0.00865384615384617,0.00442307692307693,0.013846153846153866,0.00390625,10,0.008933333333333326,-0.0031333333333333434,0.023333333333333327,5,0.029296875,True
hist_gbdt,logreg,-0.016153846153846164,-0.025966346153846128,-0.005384615384615399,0.02734375,10,-0.017133333333333334,-0.058733333333333325,0.020466666666666668,5,0.08203125,False
logreg,xgboost,0.021538461538461555,0.005192307692307699,0.03884615384615386,0.037109375,10,0.022600000000000002,-0.009399999999999997,0.0536,5,0.08203125,False
hist_gbdt,xgboost,0.005384615384615388,-0.007692307692307688,0.01903846153846155,0.625,10,0.00546666666666667,-0.011399999999999997,0.018000000000000006,5,0.625,False
