threshold,value,model,aure
tau_utility,0.0,catboost,0.0
tau_utility,0.0,hist_gbdt,0.0
tau_utility,0.0,logreg,0.05
tau_utility,0.0,tabicl,0.1692307692307692
tau_utility,0.0,tabpfn_client,0.19423076923076923
tau_utility,0.0,xgboost,0.0019230769230769232
tau_utility,0.01,catboost,0.07307692307692308
tau_utility,0.01,hist_gbdt,0.021153846153846155
tau_utility,0.01,logreg,0.10192307692307694
tau_utility,0.01,tabicl,0.2153846153846154
tau_utility,0.01,tabpfn_client,0.21538461538461537
tau_utility,0.01,xgboost,0.03076923076923077
tau_utility,0.02,catboost,0.12884615384615386
tau_utility,0.02,hist_gbdt,0.06923076923076923
tau_utility,0.02,logreg,0.12307692307692308
tau_utility,0.02,tabicl,0.2326923076923077
tau_utility,0.02,tabpfn_client,0.22115384615384615
tau_utility,0.02,xgboost,0.0923076923076923
tau_utility,0.03,catboost,0.1576923076923077
tau_utility,0.03,hist_gbdt,0.09038461538461538
tau_utility,0.03,logreg,0.13076923076923078
tau_utility,0.03,tabicl,0.23846153846153847
tau_utility,0.03,tabpfn_client,0.23461538461538461
tau_utility,0.03,xgboost,0.1346153846153846
tau_utility,0.04,catboost,0.20192307692307693
tau_utility,0.04,hist_gbdt,0.1
tau_utility,0.04,logreg,0.13653846153846155
tau_utility,0.04,tabicl,0.24423076923076922
tau_utility,0.04,tabpfn_client,0.2403846153846154
tau_utility,0.04,xgboost,0.15192307692307694
tau_utility,0.05,catboost,0.2173076923076923
tau_utility,0.05,hist_gbdt,0.11538461538461539
tau_utility,0.05,logreg,0.1480769230769231
tau_utility,0.05,tabicl,0.24807692307692308
tau_utility,0.05,tabpfn_client,0.2423076923076923
tau_utility,0.05,xgboost,0.18269230769230768
tau_utility,0.07,catboost,0.23076923076923078
tau_utility,0.07,hist_gbdt,0.1519230769230769
tau_utility,0.07,logreg,0.15576923076923077
tau_utility,0.07,tabicl,0.2538461538461539
tau_utility,0.07,tabpfn_client,0.25
tau_utility,0.07,xgboost,0.19615384615384618
tau_utility,0.1,catboost,0.2557692307692308
tau_utility,0.1,hist_gbdt,0.16153846153846152
tau_utility,0.1,logreg,0.15961538461538463
tau_utility,0.1,tabicl,0.26346153846153847
tau_utility,0.1,tabpfn_client,0.2557692307692308
tau_utility,0.1,xgboost,0.20961538461538462
tau_ece,0.05,catboost,0.07500000000000001
tau_ece,0.05,hist_gbdt,0.09038461538461538
tau_ece,0.05,logreg,0.09038461538461538
tau_ece,0.05,tabicl,0.17692307692307693
tau_ece,0.05,tabpfn_client,0.18269230769230768
tau_ece,0.05,xgboost,0.0923076923076923
tau_ece,0.075,catboost,0.14423076923076922
tau_ece,0.075,hist_gbdt,0.09038461538461538
tau_ece,0.075,logreg,0.12307692307692308
tau_ece,0.075,tabicl,0.23076923076923078
tau_ece,0.075,tabpfn_client,0.22115384615384615
tau_ece,0.075,xgboost,0.0923076923076923
tau_ece,0.1,catboost,0.1576923076923077
tau_ece,0.1,hist_gbdt,0.09038461538461538
tau_ece,0.1,logreg,0.13076923076923078
tau_ece,0.1,tabicl,0.23846153846153847
tau_ece,0.1,tabpfn_client,0.23461538461538461
tau_ece,0.1,xgboost,0.1346153846153846
tau_ece,0.125,catboost,0.1576923076923077
tau_ece,0.125,hist_gbdt,0.09038461538461538
tau_ece,0.125,logreg,0.20961538461538462
tau_ece,0.125,tabicl,0.2403846153846154
tau_ece,0.125,tabpfn_client,0.23653846153846153
tau_ece,0.125,xgboost,0.1346153846153846
tau_ece,0.15,catboost,0.1576923076923077
tau_ece,0.15,hist_gbdt,0.09038461538461538
tau_ece,0.15,logreg,0.2173076923076923
tau_ece,0.15,tabicl,0.24423076923076925
tau_ece,0.15,tabpfn_client,0.23653846153846153
tau_ece,0.15,xgboost,0.1346153846153846
tau_ece,0.2,catboost,0.1576923076923077
tau_ece,0.2,hist_gbdt,0.09038461538461538
tau_ece,0.2,logreg,0.2173076923076923
tau_ece,0.2,tabicl,0.24423076923076925
tau_ece,0.2,tabpfn_client,0.23653846153846153
tau_ece,0.2,xgboost,0.1346153846153846
tau_ece,0.25,catboost,0.1576923076923077
tau_ece,0.25,hist_gbdt,0.09038461538461538
tau_ece,0.25,logreg,0.2173076923076923
tau_ece,0.25,tabicl,0.24423076923076925
tau_ece,0.25,tabpfn_client,0.23653846153846153
tau_ece,0.25,xgboost,0.1346153846153846
tau_nll,0.3,catboost,0.15384615384615385
tau_nll,0.3,hist_gbdt,0.09038461538461538
tau_nll,0.3,logreg,0.13076923076923078
tau_nll,0.3,tabicl,0.23846153846153847
tau_nll,0.3,tabpfn_client,0.23461538461538461
tau_nll,0.3,xgboost,0.1346153846153846
tau_nll,0.5,catboost,0.1576923076923077
tau_nll,0.5,hist_gbdt,0.09038461538461538
tau_nll,0.5,logreg,0.13076923076923078
tau_nll,0.5,tabicl,0.23846153846153847
tau_nll,0.5,tabpfn_client,0.23461538461538461
tau_nll,0.5,xgboost,0.1346153846153846
tau_nll,0.75,catboost,0.1576923076923077
tau_nll,0.75,hist_gbdt,0.09038461538461538
tau_nll,0.75,logreg,0.13076923076923078
tau_nll,0.75,tabicl,0.23846153846153847
tau_nll,0.75,tabpfn_client,0.23461538461538461
tau_nll,0.75,xgboost,0.1346153846153846
tau_nll,1.0,catboost,0.1576923076923077
tau_nll,1.0,hist_gbdt,0.09038461538461538
tau_nll,1.0,logreg,0.13076923076923078
