model,family,dataset_id,seed,lambda,status,error_message,n_train,n_flipped,noisy_train_accuracy,clean_train_accuracy,clean_test_accuracy,clean_test_auc,train_test_gap,noisy_label_fit_rate,clean_label_recovery_rate,confidence_on_flipped_samples
logreg,linear,breast_cancer,0,0.0,ok,,398,0,0.9899497487437185,0.9899497487437185,0.9824561403508771,0.9960572429906542,0.007493608392841411,,,
logreg,linear,breast_cancer,0,0.05,ok,,398,20,0.9221105527638191,0.9723618090452262,0.9532163742690059,0.9959112149532711,-0.031105821505186704,0.0,1.0,0.1529246724805358
logreg,linear,breast_cancer,0,0.1,ok,,398,40,0.871859296482412,0.9522613065326633,0.9415204678362573,0.9894859813084113,-0.06966117135384531,0.1,0.9,0.23208998149858454
logreg,linear,breast_cancer,0,0.2,ok,,398,80,0.7688442211055276,0.9296482412060302,0.9005847953216374,0.9864193925233645,-0.13174057421610974,0.1,0.9,0.31434875374035043
logreg,linear,breast_cancer,0,0.3,ok,,398,119,0.678391959798995,0.8366834170854272,0.8538011695906432,0.9322429906542056,-0.1754092097916482,0.23529411764705882,0.7647058823529411,0.3974806697674779
logreg,linear,breast_cancer,0,0.4,ok,,398,159,0.6231155778894473,0.8165829145728644,0.7777777777777778,0.8358644859813085,-0.15466219988833052,0.2578616352201258,0.7421383647798742,0.4425864545401505
hist_gbdt,gbdt,breast_cancer,0,0.0,ok,,398,0,1.0,1.0,0.9532163742690059,0.9924065420560748,0.04678362573099415,,,
hist_gbdt,gbdt,breast_cancer,0,0.05,ok,,398,20,1.0,0.949748743718593,0.9532163742690059,0.9922605140186915,0.04678362573099415,1.0,0.0,0.9669671416763151
hist_gbdt,gbdt,breast_cancer,0,0.1,ok,,398,40,1.0,0.8994974874371859,0.9532163742690059,0.9953271028037383,0.04678362573099415,1.0,0.0,0.9558290457247626
hist_gbdt,gbdt,breast_cancer,0,0.2,ok,,398,80,1.0,0.7989949748743719,0.9005847953216374,0.9551693925233644,0.09941520467836262,1.0,0.0,0.9393507497259265
hist_gbdt,gbdt,breast_cancer,0,0.3,ok,,398,119,1.0,0.7010050251256281,0.6842105263157895,0.7743866822429907,0.3157894736842105,1.0,0.0,0.9117533347458425
hist_gbdt,gbdt,breast_cancer,0,0.4,ok,,398,159,1.0,0.6005025125628141,0.6140350877192983,0.7091121495327102,0.38596491228070173,1.0,0.0,0.9153057023784463
xgboost,gbdt,breast_cancer,0,0.0,ok,,398,0,1.0,1.0,0.9532163742690059,0.9941588785046729,0.04678362573099415,,,
xgboost,gbdt,breast_cancer,0,0.05,ok,,398,20,1.0,0.949748743718593,0.9590643274853801,0.9903621495327103,0.040935672514619936,1.0,0.0,0.9451617956161499
xgboost,gbdt,breast_cancer,0,0.1,ok,,398,40,1.0,0.8994974874371859,0.9707602339181286,0.9941588785046729,0.0292397660818714,1.0,0.0,0.9617403700947762
xgboost,gbdt,breast_cancer,0,0.2,ok,,398,80,1.0,0.7989949748743719,0.8947368421052632,0.9639310747663552,0.10526315789473684,1.0,0.0,0.9749746575951577
xgboost,gbdt,breast_cancer,0,0.3,ok,,398,119,1.0,0.7010050251256281,0.6666666666666666,0.7362733644859814,0.33333333333333337,1.0,0.0,0.9783585131669245
